縣市,鄉鎮市區,市集名稱,性質,經營方式,地址
嘉義縣,大埔鄉,大埔公有零售市場,市場,公營,嘉義縣大埔鄉大埔村147~162-7號
嘉義縣,中埔鄉,三和市場,市場,民營,嘉義縣中埔鄉和美村後庄22巷71號
嘉義縣,六腳鄉,六腳鄉蒜頭公有零售市場,市場,公營,嘉義縣六腳鄉蒜頭村111號
嘉義縣,太保市,太保第一公有零售市場,市場,公營,嘉義縣太保市太保里8鄰太保路178之6號
嘉義縣,水上鄉,水上公有零售市場,市場,公營,嘉義縣水上鄉水頭村正義路
嘉義縣,水上鄉,南靖市場,市場,公營,嘉義縣水上鄉三鎮村三鎮路42號
嘉義縣,布袋鎮,興中公有零售市場,市場,公營,嘉義縣布袋鎮興中里太平路42號
嘉義縣,民雄鄉,民雄第一公有零售市場,市場,公營,嘉義縣民雄鄉中樂路32號
嘉義縣,朴子市,朴子第一公有零售市場,市場,公營,嘉義縣朴子市中正里開元路
嘉義縣,朴子市,朴子第二公有零售市場,市場,公營,嘉義縣朴子市文化里山通路
嘉義縣,竹崎鄉,竹崎第一公有零售市場,市場,公營,嘉義縣竹崎鄉竹崎村中山路
嘉義縣,東石鄉,東石鄉臨時攤販集中場,攤集區,公營,嘉義縣東石鄉東石村189之9號
嘉義縣,梅山鄉,梅山第一公有零售市場,市場,公營,嘉義縣梅山鄉中山路114號
嘉義縣,鹿草鄉,下潭零售市場,市場,公營,嘉義縣鹿草鄉光潭村233-1號
嘉義縣,鹿草鄉,鹿草零售市場,市場,公營,嘉義縣鹿草村160號
嘉義縣,新港鄉,新港鄉第一公有零售市場,市場,公營,嘉義縣新港鄉第一公有零售市場
嘉義縣,溪口鄉,溪口鄉零售市場,活動中心兼停車場,公營,嘉義縣溪口鄉中正路80號
嘉義縣,大林鄉,新林市場,市場,公營,嘉義縣大林鎮蘭洲街44號
嘉義縣,大林鄉,福德市場(民營),市場,民營,嘉義縣大林鎮中山路71號
嘉義縣,義竹鄉,義竹第一公有零售市場,市場,公營,嘉義縣義竹鄉六桂村179號
嘉義縣,義竹鄉,義竹公有攤販市場,市場,公營,嘉義縣義竹鄉六桂村283-13號
