鄉(鎮、市),排水路名稱,排水出口,權責起點,權責終點,備註
新港鄉,埤子頭排水路,北港溪,與北港溪合流點,民雄排水匯入處,94.11.14經授水字第09420219360號公告
新港鄉,溪口排水路,埤子頭排水路,與埤子頭排水路合,與嘉93線交接處,94.11.14經授水字第09420219360號公告
溪口鄉,柳子溝排水路,埤子頭排水路,與埤子頭排水路合,南七股中排匯入處,94.11.14經授水字第09420219360號公告
新港鄉、民雄鄉,民雄排水路,埤子頭排水路,與埤子頭排水路合流點,山子腳排水路匯入上游,94.11.14經授水字第09420219360號公告
民雄鄉,好收排水路,民雄排水路排水路,與民雄排水路排水路合流點,好收圳排水路匯入處,94.11.14經授水字第09420219360號公告
東石鄉、六腳鄉、新港鄉,六腳排水路,出海口,出海口,後底中排三匯入上游1.032km處,94.11.14經授水字第09420219360號公告
東石鄉,塭港排水,出海口,出海口,與縣道166交接處下游246公尺,99.3.31經授水字第09920203200號公告權責終點由頂厝子區小排二匯入處變更為與縣道166交接處下游246公尺
新港鄉、民雄鄉,九十六甲埤放水排水路,朴子溪,與朴子溪合流點,北山區小排一排水路匯入處,94.11.14經授水字第09420219360號公告
新港鄉,中洋子排水路,朴子溪,與朴子溪合流點,西昌中排匯入處,94.11.14經授水字第09420219360號公告
新港鄉、民雄鄉,鴨母?排水路,中洋子排水路,與中洋子排水路合流點,水尾子橋上游0.750km處,94.11.14經授水字第09420219360號公告
六腳鄉、太保市,新埤排水,朴子溪,與朴子溪合流點,加走埤水閘門,101.7.27經授水字第10120207080號公告，排水路名稱自「新埤排水路」變更為「新埤排水」
東石鄉、朴子市,荷苞嶼排水,朴子溪,與朴子溪合流點,春珠排水匯入處,94.11.14經授水字第09420219360號公告
東石鄉,港墘排水,荷苞嶼排水,與荷苞嶼排水合流點,港墘農場中排一匯入處,94.11.14經授水字第09420219360號公告
布袋鎮、朴子市,鴨母寮排水,荷苞嶼排水,與荷苞嶼排水合流點,頂半天排水路匯入處,94.11.14經授水字第09420219360號公告
東石鄉、布袋鎮,中洲排水,鴨母寮排水,與鴨母寮排水合流點,與170線交接處,94.11.14經授水字第09420219360號公告
布袋鎮、朴子市,貴舍排水,鴨母寮排水,與鴨母寮排水合流點,台糖鐵路橋,94.11.14經授水字第09420219360號公告
朴子市,雙溪口排水,荷苞嶼排水,與荷苞嶼排水合流點,雙溪口堤防,94.11.14經授水字第09420219360號公告
太保市,春珠排水,荷苞嶼排水,與荷苞嶼排水合流點,朴子支線,94.11.14經授水字第09420219360號公告
太保市、鹿草鄉,下半天排水路,荷苞嶼排水,與荷苞嶼排水合流點,梅子厝分線,94.11.14經授水字第09420219360號公告
東石鄉,塭子排水,栗子崙排水,與栗子崙排水匯流處,塭子區小排一匯入處上游9公尺，下水道箱涵出口,97.1.3經授水字第09720200060號公告排水出口由出海口變更為栗子崙排水、權責起點由出海口變更為與栗子崙排水匯流處、權責終點由塭子區小排一匯入處上游0.009km處變更為塭子區小排一匯入處上游9公尺，下水道箱涵出口。
東石鄉、布袋鎮,過溝排水路,出海口,出海口,走賊宅區小排六匯入處上游0.311km處,94.11.14經授水字第09420219360號公告
布袋鎮,考試潭排水,出海口,出海口,金京林中排匯入處,94.11.14經授水字第09420219360號公告
布袋鎮,內田排水排水路,出海口,出海口,後東港區小排三匯入處上游0.159km,94.11.14經授水字第09420219360號公告
布袋鎮,龍宮排水,出海口,出海口,溪墘排水匯流處,94.11.14經授水字第09420219360號公告
布袋鎮、義竹鄉,溪墘排水,龍宮排水,與龍宮排水合流點,五間厝中排二排入處,94.11.14經授水字第09420219360號公告
義竹鄉,新店排水,溪墘排水,與溪墘排水合流點,北勢堀第六號橋處,94.11.14經授水字第09420219360號公告
義竹鄉,後鎮排水,新店排水,與新店排水合流,與172線交接處,94.11.14經授水字第09420219360號公告
布袋鎮、義竹鄉,過路子排水,新店排水,與新店排水合流點,台糖鐵路橋,94.11.14經授水字第09420219360號公告
布袋鎮,前東港排水,溪墘排水,與溪墘排水合流點,江山橋上游0.200km處,94.11.14經授水字第09420219360號公告
