承辦單位,研究計畫名稱,研究計畫摘要概述,研究計畫期間,"研究經費
（元）",目前執行進度,研究方式
經濟發展處,嘉義縣溪口鄉地區經濟振興方案委託規劃案,"1.多元發展振興經濟：藉由計畫的實施，並串聯溪口?現有資源，透過產業創新與加值、輔導改善各項觀光及地區性機能(如餐飲、住宿及其他服務業)，以提升地方產業結盟機會，振興地方經濟。
2.明確計畫方向及有效落實：依據中央與地方針對溪口鄉所推動之相關計畫彙整分析後擬定行動策略，並依據行動策略之辦理項目進行分類，以期未來可以針對各行動策略向中央部會進行經費爭取。",102年12月20日~103年12月12日,"950,000","已結案
","勞務委託
"
經濟發展處,嘉義縣竹崎鄉 田園果香●萬果崎發 產業品牌行銷發展計畫,竹崎鄉位居嘉義阿里山交通要衝的優勢地理位置及特色觀光休閒資源，整合在地果農、農產合作組織、觀光休閒產業、社區人文、特色美食..等資源，規劃竹崎成為臺灣（嘉義）優質農特產品的「田園果香」品牌形象，並整合鄰近鄉鎮之番路鄉柿子產業輔導計畫、鳳梨果香休閒產業輔導計畫，以及梅山鄉梅子產業輔導計畫，以「萬果崎發」為品牌行銷推廣發展的主軸，打造嘉義縣山線產業發展亮點鄉鎮，不僅建立「竹崎」產業、商業與觀光的「臺灣（嘉義）優質水果品牌」，更導入在地的感動行銷，營造在地產業就業與居民田園生活、外來遊客體驗感動的田園旅遊幸福感。,102年6月-104年10月,"4,910,000","執行中
","勞務委託
"
經濟發展處,嘉義縣民雄鄉居旅暨果醬產業-醬.匠.將品牌行銷發展計畫,「強化在組織培訓力、產業創新營運推動、發展多元行銷動力、創造有感永續經營」，運用「休閒農業、在地技藝與產經人文」等地方元素，推動民雄鄉特色產業發展。,104年3月-106年10月,"4,950,000","執行中
","勞務委託
"
農業處,「嘉義縣食安大樓營運策略－推動嘉義縣品牌農業未上市農漁畜產品採樣檢驗規劃」委託專業服務,"為利推動食安大樓籌備與營運規劃，委託國立嘉義大學執行推動嘉義縣品牌農業未上市農漁畜產品採樣檢驗規劃，委託工作事項包括：
1.規劃建立未上市農漁畜產品源頭採檢作業，並評估建構檢驗室所需之人力、儀器設備需求，以及未來營運所需經費。
2.規劃食安大樓營運，如何與本縣有機園區、品牌農業認證結合與運作。
3.提供食安大樓農產品行銷處與媽媽烹飪教室之行銷推廣策略及軟硬體需求等建議意見。",103年5月~103年6月," 96,000元 ","已結案
","勞務委託
"
水利處,朴子溪支流排水系統-頭橋排水治理規劃,頭橋排水位於朴子溪華興橋上游右岸?興二號堤防匯入朴子溪。?世界社區位於頭橋工業區東南側，原為朴子溪舊河道所?經，因??變遷改道，故地面高程相對較低，地表高程低於朴子溪10 ?重現期計畫洪水位22.58 公尺，淹水風險極高。民國90 ?9 月16 日納莉颱風及民國98 ?8 月8 日莫?克颱風均造成?世界社區嚴重淹水。嘉義縣政府依據經濟部核定「朴子溪支?排水系統規劃」成果爰辦?「頭橋排水治?計畫」。,102.8.14~104.3.3,"430,000","
執行中
其他補充說明：目前辦理決算作業中","勞務委託
"
水利處,縣管區排外溪洲排水系統規劃檢討,"原核定規劃是以八掌溪50年水位加0.5公尺出水高興建背水方式護岸以銜接八掌溪堤防，中上游以滿足外溪洲排水10年重現期距流量，並達25年重現期距保護標準之護岸考量，即以背水方式興建八掌溪50年重現期距的護岸至20.50公尺，設置蓄(滯)洪池2.4公頃，底部高程為16公尺，以收集地表水，於出口設置自動閘門底部高程標高16公尺，寬5公尺，高1公尺，並設置2cms抽水站，起抽水位標高17公尺，停抽水位標高16.5公尺。
經地方說明會時，民眾一致反對採用背水堤方案，而建議應將滯洪池位置移往下游出口處將水直接抽入八掌溪，並且應設出口閘門，是以為加速本計畫工程之推動，故對背水堤方案重新檢討規劃，以解決水上地區水患問題。",103.11.5-104.11.5,"440,000","
執行中
","勞務委託
"
人事處,人事機構在地方政府發展願景中的積極作為之研究,鼓勵地方治理研究風氣，加強本處與所屬人事機構人事人員與服務機關間垂直與橫向聯繫功能，並提供所需資源與協助,104年1月～104年9月20日,"地方行政研究中心負擔新臺幣40,000元         本單位負擔60,000元","
執行中
","勞務委託
"
綜合規劃處,102年嘉義縣高齡友善城市推動計畫委託服務案,本報告分成五章。各章內容主要包括：第一章「計畫背景、計畫構想及計畫目標」，說明及描述嘉義縣發展及推動高齡友善城市計畫之背景、計畫構想及計畫目標。第二章為「計畫依據：高齡友善城市相關文獻探討」，討論人口老化、高齡友善城市發展的背景、世界衛生組織高齡友善城市八大面向與指標，以及各國與我國高齡友善城市的經驗，以作為嘉義縣發展高齡友善城市在地指標及行動方案之參考。第三章為「計畫設計、計畫流程」，從需求面與供給面之整合來發展及建構屬於嘉義縣未來的指標與行動方案，並呈現需求面之嘉義縣三鄉鎮長者代表及老人大學長者代表座談與調查問卷的資料。第四章為「102年嘉義縣長者代表的問卷調查結果及分析」。第五章為「102年嘉義縣在地指標建構之建議」，則依據及延續第四章的統計結果，按照國民健康局與世界衛生組織高齡友善城市架構中各面向、各因子及各指標與嘉義縣長者代表意見間的關聯，建構嘉義縣未來發展高齡友善城市的在地初步指標，以作為縣府各相關局處，以及縣府與民間組織、學者專家交換意見與建議討論之基礎。第五章則為本計劃之產出：「嘉義縣高齡友善城市行動計畫及各局處三年指標與行動方案」。,102.5-102.12,"690,000","已結案
","勞務委託
"
綜合規劃處,嘉義縣綜合發展計畫,"嘉義縣自1997 年擬定綜合發展計畫迄今已逾15 年，面對新六都以及經建會提出「國土空間發展策略計畫」的新局勢，以及因應地球暖化與氣候變遷產生的洪旱災害與生態環境破壞、八八水患對嘉義縣帶來的嚴重災情，低碳經濟、綠色生活、綠色城
鄉建設是必須跟上的發展趨勢，兼具農村平原、山地環境特性的嘉義縣在思考新階段的發展構想時，主政者的空間治理計畫與自然環境變化和平共生，勢必成為施政的主軸。嘉義縣西半部為平原地形，屬嘉南平原之一部分，佔全縣面積約42%，面臨台灣
海峽，濱海漁村及農村景色為其特色，其中東石、布袋一帶魚池、鹽田錯落，形成特殊的沿海地區風貌。東半部為丘陵山岳區，地勢高峻，由東向西漸低，佔全縣面積約58%，為阿里山脈系，系出中央山脈，森林，瀑布，奇木為這一帶之風景特色，在東
西二側不同地形景觀及環境條件之下，嘉義縣整體發展應以永續發展為前提，指出縣內各區域發展之定位及方向，並統合府內各部門的空間發展政策，整合提出府內各部門施政的指導綱領；同時亦須回應在新六都地方競爭及國土空間發展策略計畫之指導下，以田園城市為發展主軸的嘉義縣需善用自然人文資源特質，以南部城市區域發展地位、雲嘉南生活圈合作發展及治理模式，擬定嘉義縣綜合發展之新策略計畫。",100.8~103.8,790萬元,"已結案
","勞務委託
"
文化觀光局,民間參與布袋遊艇港ROT案可行性評估計畫,布袋遊艇港為前省府評估最佳遊艇港五個港址之一，並於79年開始投資建設於民國98年正式完工開港，惜於國人海上休閒活動或遊艇活動等尚屬萌芽階段，設施閒置迭有發生，故有以民間參與加速開發之構想。惟民間參與公共建設法係民國92年方俱完備，過往本港雖進行民間招商，然相關基礎之民間參與可行性與興辦事業招商等計畫付之闕如，遂依促參法相關規定，將本港以促參開發之相關基礎研究，公開徵求顧問公司進行土地、法律、市場、財務等各面向之詳細分析。,101年11月～102年12月,"1,356,700","已結案
","勞務委託
"
