類別,社場名稱,社址,電話
農場,保證責任嘉義縣佳禾合作農場,朴子市大鄉里285號,3797365
農場,保證責任嘉義縣新港合作農場,新港鄉古民村94之1號,3742140
農場,保證責任嘉義縣崙陽合作農場,六腳鄉崙陽村98號,7811589
農場,保證責任嘉義縣溪口合作農場,溪口鄉溪東村民族西路36號,2697456
農場,保證責任嘉義縣義竹合作農場,義竹鄉義竹村132號,3415509
農場,保證責任嘉義縣梅山合作農場,梅山鄉過山村開元后26之5號,2624313
農場,保證責任嘉義縣民雄合作農場,民雄鄉西昌村竹子腳44號之5 ,2263808
農場,保證責任嘉義縣太保合作農場,太保市前潭里後潭188號,3712542
農場,保證責任嘉義縣竹崎合作農場,竹崎鄉鹿滿村3鄰下溪心3附13號,2615249
農場,保證責任嘉義縣大林合作農場,大林鎮中坑里沙崙114號,2953651
農場,保證責任嘉義縣東石合作農場,東石鄉蔦松村湖底40之34號,3799817
農場,保證責任嘉義縣阿里山合作農場,阿里山鄉達邦村特富野144之1號,2511600
生產合作社,保證責任嘉義縣種苗生產合作社,新港鄉溪北村200號,3771910
生產合作社,保證責任嘉義縣新港花卉生產合作社,新港鄉古民村118號,3741747
生產合作社,保證責任嘉義縣鰻蝦生產合作社,朴子市四維路286號,3792094
生產合作社,保證責任嘉義縣布袋漁業生產合作社,布袋鎮復興里23之1號,3430179
生產合作社,保證責任嘉義縣溪口養豬生產合作社,民雄鄉北斗村新生街5號,2208946
生產合作社,保證責任嘉義縣新港養豬生產合作社,新港鄉古民街5之1號,3745026
生產合作社,有限責任嘉義縣民雄養豬生產合作社,民雄鄉豐收村148之5號,2266919
生產合作社,保證責任嘉義縣菇類生產合作社,中埔鄉社口村社口23號,2532212
生產合作社,保證責任嘉義縣嘉鹿果菜生產合作社,鹿草鄉光潭村197之11號,3651992
生產合作社,保證責任嘉義縣嘉溪果菜生產合作社,溪口鄉游東村游厝庄1之9號,2694679
生產合作社,保證責任嘉義縣南崙果菜生產合作社,新港鄉南崙村117之3號,3760388
生產合作社,保證責任嘉義縣昌宏果菜生產合作社,太保市梅埔里33之6號,3714809
生產合作社,有限責任嘉義縣嘉竹果菜生產合作社,竹崎鄉鹿滿村鹿鳴路2之6號,2543750
生產合作社,有限責任嘉義縣富收果菜生產合作社,中埔鄉金蘭村4鄰24號,2534722
生產合作社,保證責任嘉義縣阿里山茶葉生產合作社,中埔鄉義仁村樹頭埔4之16號,2531133
生產合作社,保證責任嘉義縣疊溪果菜生產合作社,溪口鄉疊溪村95號,2691965
生產合作社,保證責任嘉義縣青松果菜生產合作社,太保市梅埔里1鄰梅子厝6之8號,3714178
生產合作社,有限責任嘉義縣番路果菜生產合作社,番路鄉民和村3鄰13號,2591905
生產合作社,保證責任嘉義縣溪東果菜生產合作社,溪口鄉中正路125號,2698899
生產合作社,保證責任嘉義縣疊溪養豬生產合作社,溪口鄉疊溪村三疊溪87號,2695137
生產合作社,保證責任嘉義縣福興果菜生產合作社,民雄鄉福興村新興1之1號,2331551
生產合作社,保證責任嘉義縣明華果菜生產合作社,大林鎮明華里湖底197之7號,2659306
生產合作社,保證責任嘉義縣青草生產合作社,朴子市四維路2段8號,3702797
生產合作社,保證責任嘉義縣東石漁業生產合作社,東石鄉網寮村95號,3454305
生產合作社,有限責任嘉義縣義竹蔬果生產合作社,義竹鄉頭竹村79號,3427222
生產合作社,保證責任嘉義縣川林果菜生產合作社,溪口鄉游西村64號,2691436
生產合作社,保證責任嘉義縣藥用植物生產合作社,番路鄉下坑村北勢3之5號,2593525
生產合作社,保證責任嘉義縣養殖漁產生產合作社,義竹鄉新店村252號,3426576
生產合作社,保證責任嘉義縣上青果菜生產合作社,竹崎鄉和平村坑仔坪160之3號,2615765
生產合作社,保證責任嘉義縣梅山易達蔬果生產合作社,梅山鄉永興村54之25號,2627478
生產合作社,保證責任嘉義縣阿里山咖啡生產合作社,中埔鄉金蘭村24之26號,2530070
生產合作社,保證責任嘉義縣本厝果菜生產合作社,溪口鄉本厝村54號,2696677
生產合作社,保證責任嘉義縣上林蔬果生產合作社,大林鎮上林里5號,2651079
生產合作社,保證責任嘉義縣阿里山區花卉生產合作社,番路鄉公田村龍頭17之6號,2586226
生產合作社,保證責任嘉義縣義仁果菜生產合作社,竹崎鄉義仁村7鄰13之1號,2110686
生產合作社,保證責任嘉義縣民雄果菜生產合作社,民雄鄉東湖村49之2號,2267060
生產合作社,保證責任嘉義縣打貓果菜生產合作社,民雄鄉三興村1之4號,2722968
生產合作社,保證責任嘉義縣六合全漁業生產合作社,六腳鄉潭墘村75之20號,3806777
