縣市別,"鄉鎮
市區",路線路名,"路線樁號及起迄地
名",管制通行措施,路況概述,提報單位,公告日期及文號
嘉義縣,竹崎鄉 阿里山鄉,169線,21k+923~33k+800 石桌-達邦,禁行甲類大客車,路寬不足（5~6m）及 多處彎道會車不易,公路總局第五區養護工程處 嘉義縣政府,嘉義縣政府104.04.16府建道管字第10400671811號
嘉義縣,阿里山鄉,169線,33k+800~51k+100 達邦~里佳,禁行甲、乙類大客車,路寬不足（3~4m）及 多處彎道會車不易,公路總局第五區養護工程處 嘉義縣政府,嘉義縣政府104.04.16府建道管字第10400671811號
嘉義縣,中埔鄉,172線,43k+982~51k+912 三重溪~凍仔腳,禁行甲、乙類大客車 及21噸以上砂石大貨 車,山區道路狹窄、無會車空間,公路總局第五區養護工程處 嘉義縣政府,嘉義縣政府104.04.16府建道管字第10400671811號
嘉義縣,番路鄉,嘉131線,0k~13k 草山村,禁行甲、乙類大客車,路寬不足（5~6m）、無會車空間,嘉義縣政府,嘉義縣政府104.04.16府建道管字第10400671811號
嘉義縣,梅山鄉,嘉151-1線,0k~6k+756,禁行甲、乙類大客車,路寬不足（ 2.5~3.5m）、多處彎道無會車空間,嘉義縣政府,嘉義縣政府104.04.16府建道管字第10400671811號
嘉義縣,梅山鄉,嘉152線,0k~11k,禁行甲、乙類大客車,路寬不足（ 2.5~3.5m）、多處彎 道無會車空間,嘉義縣政府,"嘉義縣政府
104.04.16府建
道管字第 10400671811號"
嘉義縣,阿里山鄉,嘉156線支線道路,支線道路,禁行逾12年大客車,多處險升（降）坡,嘉義縣政府,嘉義縣政府104.04.16府建道管字第10400671811號
嘉義縣,東石鄉,鰲鼓濕地森林園區 環園自行車道,,車輛單向通行、 禁行甲類大客車,,行政院農業委員會林務局嘉義林區管理處,行政院農業委員會林務局嘉義林區管理處105.09.12嘉育字第1055241430號
嘉義縣,朴子市,海通路,新榮路往西至文化南路,禁行17噸以上大貨車 及大客車禁行時段：7-9時、11-13時、16-20時,,嘉義縣政府,嘉義縣政府104.12.02府建道管字第10402237121號
嘉義縣,朴子市,仁和二路,小?榔五路~小?榔 一路,禁行大客車,,嘉義縣政府,嘉義縣政府104.12.16府建道管字第10402342701號
嘉義縣,朴子市,仁和一路,小?榔五路~小?榔 一路,禁行大客車,,嘉義縣政府,嘉義縣政府104.12.16府建道管字第10402342701號
嘉義縣,太保市,太子大道,故宮大道~博學路,禁行大客車,,嘉義縣政府,嘉義縣政府104.12.16府建道管字第10402342701號
嘉義縣,太保市,健康路,太子大道~博學路,禁行大客車,,嘉義縣政府,嘉義縣政府104.12.16府建道管字第10402342701號
嘉義縣,太保市,博愛路,健康路~信義二路,禁行大客車,,嘉義縣政府,嘉義縣政府104.12.16府建道管字第10402342701號
嘉義縣,太保市,信義一路,太子大道~博學路,禁行大客車,,嘉義縣政府,嘉義縣政府104.12.16府建道管字第10402342701號
嘉義縣,太保市,信義二路,博愛路~博學路,禁行大客車,,嘉義縣政府,嘉義縣政府104.12.16府建道管字第10402342701號
