鄉(鎮市)別,寺廟名稱,主祀神佛像,教別,組織型態,寺廟地址,負責人姓名,登記證字號,電話,備註
太保市,武天宮,玄天上帝,道,管理人制,太保市後潭里450號,蔡萬生,嘉縣寺登字第0001號,(05)3712171,
太保市,慧明社醒善堂,關聖帝君,道,管理委員會制,太保市南新里3鄰中山路1段62號,陳宗欽,嘉縣寺登字第0002號,(05)2373636,
太保市,安福宮,三山國王,道,管理委員會制,太保市管事厝段管事厝小段505地號,詹連溢,嘉縣寺登字第0003號,(05)2370830,
太保市,桃花宮,天上聖母,道,管理委員會制,太保市新埤里4鄰181號,洪砂田,嘉縣寺登字第0004號,(05)3612412,
太保市,保安宮,保生大帝,道,管理委員會制,太保市後庄里2鄰18號,楊明焜,嘉縣寺登字第0005號,(05)3714714,
太保市,保福宮,女媧娘娘,道,管理委員會制,太保市梅埔里10鄰71號,黃顯富,嘉縣寺登字第0006號,(05)3711214,
太保市,平安宮,三山國王,道,管理委員會制,太保市前潭里後潭10鄰110號,陳慶鐘,嘉縣寺登字第0007號,(05)3714626,
太保市,福興宮,天上聖母,道,管理人制,太保市田尾里8鄰溪南3號,陳?裕,嘉縣寺登字第0008號,(05)3611148,暫時管理人
太保市,聖恩宮,觀音三菩薩,道,管理委員會制,太保市埤鄉里3鄰埤麻腳53號,蘇俊銘,嘉縣寺登字第0009號,(05)2373284,
太保市,北極宮,玄天上帝,道,管理人制,太保市崙頂里4鄰21號,吳榮訓,嘉縣寺登字第0010號,(05)3716219,
太保市,福濟宮,七星娘娘,道,管理委員會制,太保市太保里7鄰150號,馬永調,嘉縣寺登字第0011號,(05)3711373,
太保市,古恩宮,五府千歲,道,管理委員會制,太保市麻寮里中山路2段250號,葉朝木,嘉縣寺登字第0012號,(05)2379795,
太保市,玉賢宮,三府千歲,道,管理委員會制,太保市北新里9鄰中興路1段152號,董象,嘉縣寺登字第0013號,(05)2371215,
太保市,東安宮,城隍,道,管理委員會制,太保市東勢里8鄰82號,謝振隆,嘉縣寺登字第0014號,(05)3622510,
太保市,福安宮,五府千歲,道,管理委員會制,太保市過溝里10鄰瓦厝26號,葉國忠,嘉縣寺登字第0015號,(05)2372040,
太保市,鎮安宮,五府千歲,道,管理委員會制,太保市安仁里1鄰三塊厝1之7號,蕭志遠,嘉縣寺登字第0016號,(05)3622092,
太保市,福天宮,玄天上帝,道,管理委員會制,太保市安仁里5鄰頂港子墘10號,侯春涼,嘉縣寺登字第0017號,(05)3620574,
太保市,鎮福宮,天上聖母,道,管理委員會制,太保市後潭里12鄰470號,林家村,嘉縣寺登字第0018號,(05)3711344,
太保市,福興宮,神農聖帝,道,管理人制,太保市梅埔里14鄰7之1號,官聰勉,嘉縣寺登字第0019號,(05)3714910,
太保市,玉泉寺,關聖帝君,道,管理人制,太保市後潭里15鄰418號,林吉祥,嘉縣寺登字第0020號,(05)3718549,暫時管理人
太保市,鼎新宮,天上聖母,道,管理委員會制,太保市過溝里1鄰過溝9號,劉有德,嘉縣寺登字第0021號,(05)2378066,
太保市,福安宮,清水祖師,道,管理委員會制,太保市田尾里2鄰16號,陳勝川,嘉縣寺登字第0022號,(05)3611720,
太保市,保安宮,保生大帝,道,管理委員會制,太保市舊埤里13鄰126號,鄭朝松,嘉縣寺登字第0023號,(05)3611001,
太保市,保安宮,三山國王,道,管理人制,太保市港尾里7鄰魚寮8號,陳考生,嘉縣寺登字第0024號,(05)2371305,暫時管理人
太保市,港保宮,三山國王,道,管理委員會制,太保市港尾里2鄰港尾20之1號,黃金原,嘉縣寺登字第0438號,(05)3713483,
太保市,七主宮,七主王爺,道,管理人制,太保市祥和2路2之1號,謝永華,嘉縣寺登字第0450號,(05)3621156,暫時管理人
太保市,水牛厝玉皇宮,玉皇上帝,道,管理委員會制,太保市南新里4鄰仁愛路29號,董象,嘉縣寺登字第0469號,(05)2373367,
太保市,三王府,三王爺,道,管理人制,太保市新埤里1鄰新埤段新埤小段448號,呂黃淑梅,嘉縣寺登補字第0117號,(05)3611428,暫時管理人
太保市,北玄宮,玄天上帝,道,管理委員會制,太保市舊埤里52之1號,侯忠華,嘉縣寺登補字第0118號,,
太保市,清福宮,清水祖師,道,管理委員會制,太保市春珠里5鄰(茄苳腳711號),黃元國,嘉縣寺登補字第0119號,(05)3717552,
太保市,東和宮,元帥爺,道,管理人制,太保市東勢里2鄰(東勢寮段330之1地號),陳良主,嘉縣寺登補字第0120號,(05)3623343,暫時管理人
太保市,法隆寺,西方三聖,佛,管理人制,太保市後潭里424之12號,楊格,嘉縣寺登補字第0146號,(05)3715131,
太保市,水虞厝代天府,五府千歲,道,管理委員會制,太保市南新里3鄰仁愛路116巷3號,許國模,嘉縣寺登補字第0212號,(05)2372459,
太保市,福安宮,福德正神,道,管理委員會制,太保市北新里15鄰溪底寮28號附1,許評証,嘉縣寺登補字第0217號,(05)2378182,
太保市,清雲宮,清水祖師,道,管理委員會制,太保市中山路1段68巷15號,葉全成,嘉縣寺登補字第0223號,(05)2373579,
太保市,東天紫微宮,紫微大帝,道,管理人制,太保市埤鄉里1鄰埤麻腳2之1號,吳玉蕙,嘉縣寺登補字第0233號,,
太保市,玄保宮,玄天上帝,道,管理人制,太保市太保里145號,張順吉,嘉縣寺登補字第0252號,(05)3711654,
朴子市,安福宮,池府千歲,道,管理委員會制,朴子市安福里5鄰山通路82號,呂欣泰,嘉縣寺登字第0025號,(05)3798561,
朴子市,靜修精舍,釋迦牟尼佛,佛,管理人制,朴子市平和里2鄰市東路33號,李金蓮,嘉縣寺登字第0026號,(05)3792851,
朴子市,龍樹亭,觀音佛祖,佛,管理委員會制,朴子市內厝里7鄰內厝58號,黃錫禧,嘉縣寺登字第0027號,(05)3702158,
朴子市,巡天宮,五府千歲,道,管理委員會制,朴子市順天里7鄰南通路3段916號,黃慶如,嘉縣寺登字第0028號,(05)3794090,
朴子市,天公壇,玉皇上帝,道,管理委員會制,朴子市中正里19鄰中正路182號,林博文,嘉縣寺登字第0029號,(05)3793041,
朴子市,保安宮,五府千歲,道,管理委員會制,朴子市中正里10鄰中正路171號,陳俊生,嘉縣寺登字第0030號,(05)3793005,
朴子市,圓光寺,釋迦牟尼佛,佛,管理人制,朴子市永和里4鄰8德路340號,王柳枝,嘉縣寺登字第0031號,(05)3792502,
朴子市,順天宮,五府千歲邢王,道,管理委員會制,朴子市博厚里13鄰開元路448號,涂國義,嘉縣寺登字第0032號,(05)3796037,
朴子市,青田寺,觀音佛祖,佛,管理人制,朴子市文化里16鄰南通路3段782號,侯水田,嘉縣寺登字第0033號,(05)3799582,
朴子市,春秋武廟,關聖帝君,道,管理人制,朴子市永和里4鄰應菜埔36之1號,鄭權宏,嘉縣寺登字第0034號,(05)3799945,
朴子市,德安宮,五府千歲,道,管理委員會制,朴子市永和里12鄰應菜埔107之1號,黃東榮,嘉縣寺登字第0035號,(05)2538353,
