嘉義縣各鄉、鎮、(市)農會,網址
嘉義縣農會,http://www.cyfa.org.tw/home.asp
朴子市農會,http://www.fast.org.tw/q03/ 
大林鎮農會,http://dalin.naffic.org.tw 
布袋鎮農會,http://www.bdfa.org.tw/ 
水上鄉農會,http://www.waterfa.org.tw/ 
太保市農會,http://www.taipo.org.tw/ 
民雄鄉農會,http://www.minsyong.org.tw/ 
新港鄉農會,http://www.fast.org.tw/q08/ 
溪口鄉農會,http://www.xikou.org.tw/
梅山鄉農會,http://www.msfa.com.tw/ 
竹崎地區農會,http://www.fast.org.tw/q11/ 
番路鄉農會,http://www.fanlu.org.tw/ 
中埔鄉農會,http://www.fcic.org.tw/670/
六腳鄉農會,http://www.fast.org.tw/q15/ 
東石鄉農會  ,http://www.dongshi.org.tw/ 
鹿草鄉農會,http://www.lufa.org.tw/ 
義竹鄉農會,http://www.yijhu.org.tw/
阿里山鄉農會,http://www.alishanfm.com.tw/ 
, 
