營業所,負責人,地址,電話
高賓按摩院,黃茂興,嘉義縣朴子市中興路140巷15鄰20弄20號,05-3709695
建利按摩院,何建銘,嘉義縣民雄鄉山中村131-4號,05-2217132
明宗按摩院,柯明宗,嘉義縣東石鄉溫港村52-19號,05-3732463
吳師父按摩院,吳金城,嘉義縣中埔鄉中華路631號,05-2309785
典谷按摩院,汪典谷,嘉義縣中埔鄉同仁村7鄰88號,05-2536500
翠柑按摩院,張翠柑,嘉義縣民雄鄉豐收村15鄰好收1-4號,05-2267795
冠達按摩院,何冠達,嘉義縣民雄鄉寮頂村11鄰頂寮79號之16,05-2269986
長庚醫院,張家榮 柯明宗 盧添財,嘉義縣朴子市嘉朴路西段6號1樓入口處,0987779675 0928700977
摩手舒壓達人,顏志愷,嘉義縣太保市麻太路67-3號,0928566882
新視界按摩院,羅輝宏,嘉義縣水上鄉下塗溝村25號之1,0927167879
吉祥按摩院,吳秋信,嘉義縣大林鎮三和里林子頭28號,0937662666
添財按摩坊,盧添財,嘉義縣東石鄉圍潭村雙連潭8號,0927375661
芳崧按摩院,游昭敏 陳裕文,嘉義縣溪口鄉柴林村100號,0978829652 0963134566
朴子醫院,詹銘鐘,嘉義縣朴子市永和里 42-50 號,0912411037
