工會名稱,理事長,會址,電話
嘉義縣餐飲業職業工會,黃金山,嘉義市興業東路316號2樓之1,05-2254574          
嘉義縣木工業職業工會,許水松,嘉義市北榮里11鄰五顯街172號3樓之1,05-2311801   
嘉義縣汽車駕駛員職業工會,盧明志            ,嘉義市台斗街74之3號  朴子市朴子7路148號                   ,05-2769195       
嘉義縣小貨車裝運業職業工會,楊毅,嘉義市國華街106之2號5樓7室,05-2228360      
嘉義縣機車修理業職業工會,李四?,嘉義市民權路306號,05-2765553      
嘉義縣油漆工程業職業工會,吳永雄,嘉義市國華街106之2號5樓7室,05-2228360      
嘉義縣果菜包裝運送業職業工會,林美英,嘉義市國華街106之2號5樓7室,05-2228370
嘉義縣檳榔包裝加工業職業工會,劉略扇,嘉義市國華街106之2號5樓7室,05-2228360      
嘉義縣洗染職業工會,吳財諒,嘉義市國華街106之2號5樓7室,05-2228370
嘉義縣屠宰業職業工會,黃松南,嘉義市民權路369之1號,05-2259642
嘉義縣各業工人聯合職業工會,王志行,嘉義市民權路369之1號,05-2257328
嘉義縣電器裝置業職業工會,周漳炎,嘉義市永安街120號,05-2222028
嘉義縣影劇歌舞服務職業工會,童永順,嘉義市永安街120號,05-2291376
嘉義縣成衣服飾整理加工業職業工會,洪來盆,嘉義市和平路293號,05-2273532
嘉義縣印刷業職業工會,郭豊照,嘉義市新民路111號,05-2352555
嘉義縣照相錄影職業工會,李文攸,嘉義市中正路144號,05-2772099
嘉義縣作物栽培職業工會,吳水清,嘉義市和平路293號,05-2293353    FAX:05-2162530
嘉義縣鐵工業職業工會,張文卿,嘉義市上海路99號,05-2357760        
嘉義縣室內裝潢業職業工會,江銘滋,嘉義市和平路293號,05-2227996
嘉義縣美容業職業工會,林品樺,嘉義市國華街106之2號5樓7室,05-2252826
嘉義縣理燙髮美容職業工會,郭慶銘,嘉義市重慶路285號,05-2834983
嘉義縣糕餅糖?業職業工會,周俊男,嘉義市北港路673號,05-2371150    
嘉義縣橡膠製品修補業職業工會,甘瑞欽,嘉義市新建街8巷3號,05-2835533 
嘉義縣食油加工業 職業工會,吳鎮森,嘉義市文化路79號3樓,05-2251746
嘉義縣家具修理業 職業工會,呂維,嘉義市文化路79號3樓,05-2251746
嘉義縣農藥業職業工會,許崑?,嘉義市文化路79號3樓,05-2233160
嘉義縣家畜飼養職業工會,葉吳香蘭   ,竹崎鄉灣橋村112之17號,05-2232726
嘉義縣不動產服務職業工會,洪東榮,嘉義縣竹崎鄉灣橋村崎腳112號,05-2790050
嘉義縣營造業職業工會,許金興,嘉義市杭州一街3號,05-2853753
嘉義縣碾米業職業工會,呂銘芳,嘉義市廣寧街90號,05-2223981
嘉義縣汽車修理業職業工會,莊傑文,嘉義市世賢路1段649號3樓,05-2312901   Fax:05-2312912
嘉義縣家事服務業職業工會,張志明,嘉義市新榮路307之1號5樓11室,05-2230365
嘉義縣中藥製造職業工會,許開興,嘉義市上海路320巷2號,05-2862165
嘉義縣西服製作職業工會,呂黃元菁,嘉義市博東路115號2樓之2,05-2788668
嘉義縣鑲牙齒模承造業職業工會,戴順正,水上鄉建國4村232號,05-2367465
嘉義縣水電裝置業職業工會,方新君,水上鄉建國4村232號,05-2367465       
嘉義縣汽車貨物裝卸業職業工會,陳建俊,中埔鄉隆興村石山店仔3鄰2號,05-2539603
嘉義縣雕刻業職業工會,林清涼,民雄鄉建國路2段167號,05-2268623
嘉義縣電子機械加工業職業工會,何甘祥,民雄鄉建國路3段124巷34號,05-2213298
嘉義縣農機代耕業職業工會,謝委生,民雄鄉西安路35之20號,05-2268267
 嘉義縣保險業職業工會,王文勇,民雄鄉建國路1段31巷74號,05-2267784
嘉義縣機器製修職業工會,莊聰連,民雄鄉西安路35之20號,05-2268267
嘉義縣鐘錶眼鏡業職業工會,陳政郎,朴子市第二市場6棟10號,05-3799767
嘉義縣銀樓業職業工會,鄭銘陽,嘉義市北門街74號,05-2760690
嘉義縣縫紉職業工會,曾廷?,朴子市第ㄧ市場2樓8號,05-3700593    
嘉義縣自行車裝修業職業工會,何義貞,朴子市黎明路142號,05-3700052
嘉義縣五金業職業工會,林海,朴子市黎明路142號,05-3700770
嘉義縣日用品運送業職業工會,陳金德,朴子市第二市場8棟5號,05-3793640
嘉義縣舊貨業職業工會,呂明娥,朴子市第一市場2樓9號,05-3703630
嘉義縣廚師業職業工會,黃英郎,朴子市新榮路167巷46號1樓,05-3705536
嘉義縣魚貨運銷業職業工會,蔡榮松,朴子市黎明路162號,05-3704231
嘉義縣魚網編織業職業工會,林王翠枝,朴子市第二市場6棟10號,05-3799767
嘉義縣水泥製品加工職業工會,蔣榮威,朴子市第二市場6棟10號,05-3799767
嘉義縣泥水業職業工會,黃建融,台南縣鹽水鎮下中里樹子腳19號,06-6528833
嘉義縣模板業職業工會,王志成,台南縣鹽水鎮下中里樹子腳19號,06-6528833
嘉義縣營建土木職業工會,林杞明,台南縣鹽水鎮下中里樹子腳19號,06-6528833
嘉義縣禮儀用品業職業工會,林貞富,新港鄉福德路81號,05-3741579        
嘉義縣音樂服務業職業工會,黃添茂,新港鄉登雲路50號,05-3740136    
嘉義縣女子燙髮業職業工會,何惠敏,新港鄉奉天路51號,05-3742148
嘉義縣林業職業工會,陳河正,番路鄉下坑村菜公店1之33號,05-2592500
嘉義縣手工藝製品業職業工會,林昭明,竹崎鄉崎腳112之17號,05-2791838      
嘉義縣製茶業職業工會,簡金山,竹崎鄉崎腳112之17號,05-2791838      
嘉義縣水產養殖業職業工會,翁志弘,竹崎鄉崎腳112之17號,05-2791838      
嘉義縣小吃業職業工會,孟昭清,竹崎鄉崎腳112之17號,05-2791838      
嘉義縣農機修理職業工會,劉文金,竹崎鄉崎腳112之17號,05-2791838      
嘉義縣家禽場工作者職業工會,沈文彥,竹崎鄉崎腳112之17號,05-2791838      
嘉義縣地政業務從業人員職業工會,陳坤裕,中埔鄉和興村中華路857號,05-2391466
嘉義縣星相卜卦與堪輿職業工會,吳長晉,中埔鄉隆興村十字路11之5號,05-2531755
嘉義縣冰果冷飲服務職業工會,李慶松,中埔鄉和興村中華路857號,05-2390092
嘉義縣農事服務職業工會,顏新教,大林鎮民權路62號,05-2653337
嘉義縣魚類食品加工職業工會,柯雨利,嘉義市新民路757巷6號,05-2363388    
嘉義縣魚貨搬運職業工會,余滿,嘉義市新民路757巷6號,05-2363388
嘉義縣派報職業工會,蔡俊賢,嘉義市文中街10號,05-2335999
嘉義縣傳統整復員職業工會,鄭信志,中埔鄉武德街6號,05-2395151
嘉義縣推銷員職業工會,何豐吉,民雄鄉西安村復興路177之3號,05-2267235
嘉義縣宗教服務職業工會,黃智鴻,嘉義市嘉北街86號,05-2262134            
嘉義縣彩券販賣職業工會,游程熙,新港鄉中山路奉天大廈3號,05-3742828            
嘉義縣青草藥製造職業工會,鄭信仁,中埔鄉武德街6號,05-2395151
嘉義縣清潔服務職業工會,李維鴻,民雄鄉北斗村北勢子95之16號,05-2208910
嘉義縣金屬建築結構及零組件製造職業工會,林德森,嘉義市泰山三街51號,05-2331996    
嘉義縣報紙廣告職業工會,張滄南,大林鎮中正路548號,05-2651529
嘉義縣推拿與民俗傳統療法服務職業工會,鄭信仁,中埔鄉武德街6號,05-2395151
嘉義縣工商服務職業工會,黃秋如,番路鄉下坑村菜公店1之33號,05-2592500
嘉義縣環保廢棄物清除處理職業工會,張學良,朴子市第二市場6棟10號,05-3799767
嘉義縣直銷人員職業工會,曾明月,民雄鄉西安村復興路177之3號,05-2267235
嘉義縣麵食製作職業工會,簡慶安,嘉義市文化路79號3樓,05-2252085
嘉義縣勞動力服務人員職業工會,劉宗誠,嘉義市國華街245號7樓之9,05-2255718
嘉義縣保險業務職業工會,陳河正,番路鄉下坑村菜公店1之33號,05-2592500
嘉義縣農產品運送工職業工會,陳鳳梅,布袋鎮復興里17之61號,05-3471585
嘉義縣貨物包裝運送職業工會,張炎昇,中埔鄉中正路680號,05-2538041
嘉義縣美髮美容技術指導員職業工會,林迺誠,朴子市向榮路21之2號,05-3706331
