工會名稱,理事長,會址,電話,傳真
總工會,鄭新民,嘉義市民權路306號,05-2785095 ,05-2780481
上評實業股份有限公司嘉義廠企業工會,蔡汯嶧,民雄鄉興南村工業1路10號,05-2211526,
光泉牧場股份有限公司嘉義廠企業工會,劉美龍,民雄鄉民雄工業區成功街1號,05-2219700#618、 220、223,
嘉義縣台化新港廠企業工會,林瑛錡,新港鄉中洋工業區1號,05-3772111               ,
南亞塑膠公司新港廠企業工會,陳鴻儒,新港鄉中洋工業區2號,05-3772111#598                              ,
南亞塑膠公司嘉義廠企業工會,官中信,太保市南新村北港路2段201號,05-2373711#578 0922590007,
台灣糖業股份有限公司嘉義工會,鄭進昌,六腳鄉工廠村1號,05-3800739 05-3800215#262,
臺鹽實業股份有限公司生技三廠企業工會,蔡麗美,布袋鎮光復里 六棟寮 1號,05-3472010#480,
臺灣菸酒股份有限公司嘉義酒廠企業工會,吳永全 ,民雄鄉福樂村中山路4號,05-2215721#452、301           ,
台灣塑膠公司新港廠企業工會,曾建華,新港鄉中洋工業區3號,05-3772111#155                   ,
台灣必成股份有限公司新港廠企業工會,余文雄,新港鄉中洋工業區2-1號,05-3772111#152                ,
台灣糖業股份有限公司嘉義工會,鄭進昌,六腳鄉工廠村1號,05-3800739       ,
台鹽實業公司生技三廠企業工會,蔡慶成,布袋鎮光復里六棟寮 1號,05-3472010#480,
台灣煙酒股份有限公司嘉義酒廠企業工會,林啟祥,民雄鄉福樂村中山路4號,05-2215721#452,
台灣塑膠公司 新港廠企業工會,曾建華,新港鄉中洋工業區3號,05-3772111#155,
台灣必成股份有限公司新港廠企業工會,余文雄,新港鄉中洋工業區2-1號,05-3772111#152 ,
