社場名稱,社址,電話
保證責任嘉義縣中埔果菜運銷合作社,中埔鄉中埔村11鄰79號,2531012
保證責任嘉義縣崙尾果菜運銷合作社,溪口鄉美南村82號,2692219
保證責任嘉義縣嘉民果菜運銷合作社,民雄鄉東湖村111之43號,2261497
保證責任嘉義縣宸暘果菜運銷合作社,大林鎮明和里甘庶崙96之12號,2695571
保證責任嘉義縣新港果菜運銷合作社,新港鄉菜公村7鄰41號,3742116
保證責任嘉義縣嘉保果菜運銷合作社,太保市春珠里4鄰120之1號,3714058
保證責任嘉義縣東石牡蠣運銷合作社,東石鄉東石村黎明路75號,3734789
保證責任嘉義縣泰園果菜運銷合作社,竹崎鄉復金村4鄰58之1號,2614271
保證責任嘉義縣布袋漁產運銷合作社,布袋鎮光復路1段17巷2弄21號,3474088
保證責任嘉義縣健成果菜運銷合作社,六腳鄉灣南村13號,3802628
保證責任嘉義縣嘉義果菜運銷合作社,民雄鄉西昌村66之5號,2063602
保證責任嘉義縣嘉偉果菜運銷合作社,太保市過溝里瓦厝19之1號,2378123
有限責任嘉義縣嘉農果菜運銷合作社,太保市後潭里422之8號,3716363
保證責任嘉義縣梅山永興果菜運銷合作社,梅山鄉永興村45之2號,2625592
保證責任嘉義縣嘉梅果菜運銷合作社,梅山鄉大南村大片田15之3號,2624611
有限責任嘉義縣六腳蔬果運銷合作社,六腳鄉更寮村234號,3792847
保證責任嘉義縣香泉果菜運銷合作社,梅山鄉永興村6鄰49號,2625428
保證責任嘉義縣養殖漁業運銷合作社,東石鄉永屯村38之25號,3703805
保證責任嘉義縣承美果菜運銷合作社,溪口鄉溪民路90號,2691279
保證責任嘉義縣東揚蔬果運銷合作社,大林鎮明和里忠孝路439號,2641310
保證責任嘉義縣諸羅養殖漁業運銷合作社,東石鄉塭仔村120號,3453721
保證責任嘉義縣東興果菜運銷合作社,民雄鄉東興村6鄰葉子寮49號,2720719
保證責任嘉義縣麗財果菜運銷合作社,竹崎鄉獅埜村公館13號,2615095
保證責任嘉義縣昇平果菜運銷合作社,竹崎鄉昇平村昇平1之2號,2540468
保證責任嘉義縣龍山果菜運銷合作社,番路鄉公田村7鄰過龍仔7號,2586925
保證責任嘉義縣橘祥果菜運銷合作社,梅山鄉雙溪村下雙溪23號之6,2622956
保證責任嘉義縣嘉新果菜運銷合作社,番路鄉新福村9鄰下宅仔30號,2591197
保證責任嘉義縣中亞果菜運銷合作社,中埔鄉和美村大義路192號,2227956
保證責任嘉義縣灣橋果菜運銷合作社,竹崎鄉灣橋村枋子林52號,0910226188
保證責任嘉義縣嘉祥果菜運銷合作社,番路鄉番路村下石頭埔2之1號,2591519
保證責任嘉義縣上豐蔬菜運銷合作社,新港鄉共和村後庄55號,3747729
保證責任嘉義縣朴子果菜運銷合作社,義竹鄉溪洲村20之2號,3620519
保證責任嘉義縣億鑫果菜運銷合作社,大林鎮過溪里過溪560號,2950985
保證責任嘉義縣阿里山果菜運銷合作社,番路鄉觸口村5鄰75號,2590255
保證責任嘉義縣榮成果菜運銷合作社,大林鎮過溪里過溪501號,0937862488
保證責任嘉義縣宜興果菜運銷合作社,民雄鄉西安村復興路157號,2260212
保證責任嘉義縣大阿里山一支杉農產加工運銷合作社,梅山鄉中正路105之7號,2620557
保證責任嘉義縣兆豐果菜運銷合作社,民雄鄉福權村75號,2263683
保證責任嘉義縣嘉福果菜運銷合作社,民雄鄉福權村49之3號,2263903
保證責任嘉義縣阿里山紅茶運銷合作社,番路鄉公興村中寮41號附6,2586616
保證責任嘉義縣游東果菜運銷合作社,溪口鄉游東村民生街53號,2692328
有限責任嘉義縣季津漁業運銷合作社,東石鄉塭仔村後埔37附10號,3453721
保證責任嘉義縣港尾寮果菜運銷合作社,六腳鄉港美村60號,0935051643
保證責任嘉義縣沄水果菜運銷合作社,中埔鄉澐水村竹頭崎10之2號,2531722
保證責任嘉義縣嘉哲果菜運銷合作社,梅山鄉圳南村三源25號,2621925
保證責任嘉義縣勝雄果菜運銷合作社,溪口鄉美北村12鄰63號,0916005790
保證責任嘉義縣玉明山果菜運銷合作社,梅山鄉梅北村三美庄17之1號,0929611081
