資料種類,資料項目,發布形式,106年01月,106年02月,106年03月,106年04月,106年05月,106年06月,106年07月,106年08月,106年09月,106年10月,106年11月,106年12月,
社會福利服務統計,身心障礙者之年齡分配,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
社會福利服務統計,身心障礙福利機構概況,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報 106.02.21背景更新
社會福利服務統計,身心障礙福利機構服務使用者人數,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
社會福利服務統計,身心障礙福利機構服務使用者之年齡分配,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
社會救助統計,遭受災害救助情形 ,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
社會救助統計,辦理急難救助概況,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
社會救助統計,低收入戶生活扶助,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
社會福利服務統計,低收入戶及節日慰問概況,報表、網路網路,25日17:00(105年下半年),,,,,,25日17:00(106年上半年),,,,,,半年報
社會救助統計,辦理社會救助統計醫療及看護補助概況,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
社會救助統計,遊民處理情形 ,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
生活狀況統計,註銷領有身心障礙手冊者及死亡者年齡分析,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
社會福利服務統計,兒童及少年福利服務,報表、網路網路,,6日17:00(105年),,,,,,,,,,,年報 106.02.17更改為年報
社會福利服務統計,新住民子女發展遲緩兒童早期療育服務概況,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報 106.02.21背景更新
社會福利服務統計,高風險家庭關懷輔導處遇服務執行概況,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報 106.02.21背景更新
社會救助統計,中低收入老人特別照顧津貼,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
社會福利服務統計,身心障礙者輔助器具補助,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
社會救助統計,特殊境遇家庭扶助服務,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
社會救助統計,特殊境遇家庭符合款項,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
社會福利服務統計,身心障礙人數,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
社會保護統計,家庭暴力被害人保護扶助人次,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
社會保護統計,家庭暴力被害人保護扶助金額,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
社會保護統計,性侵害被害人保護扶助人次,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
社會保護統計,性侵害被害人保護扶助金額,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
社會福利服務統計,性騷擾申訴事件調查結果,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
社會保護統計,性騷擾申訴事件調查概況,報表、網路網路,25日17:00(105年第4季),,,25日17:00(106年第1季),,,25日17:00(106年第2季),,,25日17:00(106年第3季),,,季報
社會福利服務統計,違反兒童及少年福利與權益保障法執行概況,報表、網路網路,25日17:00(105年下半年),,,,,,25日17:00(106年上半年),,,,,,半年報 106.02.21背景更新
社會福利服務統計,查獲兒童及少年性交易案件安置情形,報表、網路網路,25日17:00(105年下半年),,,,,,25日17:00(106年上半年),,,,,,半年報 106.02.21背景更新
社會福利服務統計,托嬰中心所數及收托人數,報表、網路網路,25日17:00(105年下半年),,,,,,25日17:00(106年上半年),,,,,,半年報
社會福利服務統計,托嬰中心專業工作人員,報表、網路網路,25日17:00(105年下半年),,,,,,25日17:00(106年上半年),,,,,,半年報
