機構名稱,住址,最近一次評鑑成績,電話
嘉義縣私立長春老人養護中心（15床插管）,中埔鄉和興村後庄39巷96之1號,104年度本縣評鑑成績甲等,05-2301012
財團法人利河伯社會福利基金會附設嘉義縣私立基督養護中心（14床長照、30插管）,大林鎮西林里西榮路3號,105年衛生福利部評鑑乙等【暫停轉介新案】,05-2656969
嘉義縣私立松柏老人養護中心（15床插管）,竹崎鄉緞繻村松腳10之11號,104年度本縣評鑑成績甲等,05-2630201
財團法人台灣省私立嘉義博愛仁愛之家,嘉義市新店里林森東路235號,105年衛生福利部評鑑乙等【暫停轉介新案】,05-2762306*816 05-2762306*106
嘉義市私立新仁友老人長期照顧中心,嘉義市民權路332巷38號,102年度評鑑成績乙等【暫停轉介新案】,05-2786603-4
嘉義縣私立雙福寶慈濟佛門老人長期照顧中心（養護型）,大林鎮平林里下潭底69號,104年度本縣評鑑成績優等,05-2657899
財團法人嘉義縣私立開元殿福松老人養護中心（15床長照、30插管）,溪口鄉柴林村65之2號,104年度本縣評鑑成績甲等、105年衛生福利部評鑑甲等,05-2691234
嘉義縣私立大林老人養護中心,大林鎮三和里10鄰民生路478號,104年度本縣評鑑成績優等,05-2654687
嘉義縣私立中林老人養護中心,大林鎮中林里中林155號,104年度本縣評鑑成績甲等,05-2655233
嘉義縣私立尚愛老人養護中心（15床插管）,義竹鄉頭竹村265號,104年度本縣評鑑成績優等,05-3418588
嘉義縣私立怡園老人養護中心,朴子市永和里應菜埔150之8號,104年度本縣評鑑成績甲等,05-3705522
嘉義縣私立感恩老人養護中心,民雄鄉東榮村中庄21之45號,104年度本縣評鑑成績優等,05-2266062
私立國泰老人長期照顧中心,嘉義市西區育人路329號,102年度評鑑成績優等,05-2861126
嘉義縣私立慶安老人長期照顧中心（養護型）,中埔鄉和美村後庄202號,104年度本縣評鑑成績甲等,05-2309868
嘉義縣私立祥和老人長期照顧中心（養護型）,東石鄉洲仔村14鄰洲仔188號,104年度本縣評鑑成績甲等,05-3703285 05-3703685
嘉義縣私立養生老人長期照顧中心（養護型）,竹崎鄉灣橋村6鄰李厝10-1號,104年度本縣評鑑成績甲等,05-2791700
嘉義縣私立宜家老人長期照顧中心（養護型）,大林鎮三村里1鄰潭漧1之5號,104年度本縣評鑑成績甲等,05-2955081
嘉義縣私立雙福寶佛門老人長期照顧中心（養護型）,民雄鄉建國路2段187-101號,104年度本縣評鑑成績優等,05-2260899
嘉義縣私立瑞泰社會福利基金會附設嘉義縣私立幸福老人長期照顧中心（養護型）,番路鄉新福村5鄰許厝22號,105年度衛生福利部評鑑甲等,05-2590613 05-2593298
嘉義縣私立惜福長期照顧中心（養護型）,民雄鄉東榮村3鄰中庄路21-20號,104年度本縣評鑑成績優等,05-2263830
嘉義縣私立長青老人養護中心,竹崎鄉灣橋村340巷22號之2,104年度本縣評鑑成績優等,05-2791499
嘉義縣私立慈保老人養護中心,中埔鄉隆興村枋樹腳20之20號,104年度本縣評鑑成績甲等,05-2537112 05-2537113
台灣省私立嘉義濟美仁愛之家,嘉義市圳頭里盧義路361號,105年衛生福利部評鑑甲等,05-2766130
私立誠泰老人長期照顧中心（養護型）,嘉義市西區大賢路148號,102年度評鑑成績甲等,05-2366317
財團法人嘉義市私立瑞泰老人長期照顧中心,嘉義市西區玉山路669號,105年度衛生福利部評鑑甲等,2352600*10
嘉義市私立慈保老人養護中心,嘉義市東區大雅路二段234巷10號,102年度評鑑成績甲等,2769992
財團法人台灣省私立嘉義仁愛之家,嘉義市東區芳草里1鄰草地尾8號,105年衛生福利部評鑑甲等,05-2250065*1008
台中榮民總醫院灣橋分院附設護理之家,嘉義縣竹崎鄉石麻園38號,104年度評鑑成績甲等,05-2791072*7593
衛生福利部中區老人之家,彰化縣田中鎮中南路2段210號,105年衛生福利部評鑑優等,04-8742811*630
衛生福利部南區老人之家,屏東市瑞光里香揚巷1號,105年衛生福利部評鑑優等,08-7223434*240-242
衛生福利部彰化老人養護中心,彰化市桃園里虎崗路1號,105年衛生福利部評鑑優等,04-7258131*172
衛生福利部嘉義醫院附設護理之家,嘉義市北港路312號 ,104年度評鑑成績優等,05-2319090
孝親護理之家,嘉義縣水上鄉南和村後寮2之2號,104年度評鑑成績甲等,05-2683858
私立大德護理之家,中埔鄉和睦村中華路268巷33號,104年度評鑑成績甲等,05-2308599
仁德醫療社團法人附設護理之家,嘉義市林森西路 285 號,104年度評鑑成績優等,05-2258279
