鄉鎮,單　　位,聯絡人,電話,地　　址,設置位置,設置日期,孔數
大林鎮,大林鎮民代表會,江本毅,0935-971981,大林鎮中興路二段237號,代表會側邊牆壁,89.3.28,6
大林鎮,大林鎮清潔隊,石墾檳,2653211,大林鎮新興街138號,正門牆壁上,89.3.28,6
大林鎮,原和機車行,陳清文,2651453,大林鎮甘蔗崙38號,店內牆壁上,89.10.2,6
大林鎮,泰峰車業有限公司,江勉觀,2652408,大林鎮西林里中正路428號,店外牆壁上,89.10.2,6
中埔鄉,偉盛機車行,賴茂旺,2391658,中埔鄉和興村中華路685號,店內柱子上,88.12.20,6
中埔鄉,安東益機車行,陳志雄,2397376,中埔鄉金蘭村頂山門44-1號,店外柱子上,88.12.20,6
中埔鄉,中埔鄉公所,湯宏智,2533321-211,中埔鄉中埔村中埔128號,清潔隊後牆壁上,89.3.29,6
中埔鄉,國利機車行,謝宗霖,2531404,中埔鄉同仁村161-2號,店外柱子上,89.10.2,6
中埔鄉,正大機車行,鍾春滿,2390120,中埔鄉和睦村中山路五段403號,店外柱子上,89.10.2,6
中埔鄉,阿財車業行,賴松財,2391215,中埔鄉和睦村中山路五段723號,外面柱子櫃子內,97.3.10,4
六腳鄉,六腳鄉公所,柳建安,3801121-111,六腳鄉蒜頭村73號,公所旁建築之牆壁上,89.1.14,6
六腳鄉,一安機車行,呂榮安,3781357,六腳鄉六腳村六腳26號,店外柱子上,89.10.3,6
太保市,榮生車業有限公司,,3711025,太保市後潭村後潭396號,外面柱子上,89.1.15,6
太保市,太保市清潔隊,劉柏基,3716000,太保市太保里66號,清潔隊門前,89.3.30,6
太保市,新偉車業有限公司,余新丁,3712898,太保市銘泰新村1號,店外柱子上,89.10.30,6
水上鄉,昆輪機車行(分店),林焜山,2689432,水上鄉中正路155巷12號,店內柱子上,88.12.20,6
水上鄉,永新機車行,羅文甲,2351465,水上鄉寬士村崎子頭172號,店外牆壁上,89.10.3,6
布袋鎮,布袋鎮公所,陳國偉,3475975,布袋鎮自由路2號,調解會旁之車棚,89.3.28,6
民雄鄉,民雄鄉清潔隊,陳榮吉,2267214,民雄鄉民雄路橋下,側門旁,89.1.13,6
民雄鄉,民雄鄉公所,翁吉富,2262101-14,民雄鄉文化路7號,後面機車棚鐵柱上(左),89.1.13,6
民雄鄉,民雄鄉公所,翁吉富,2262101-14,民雄鄉文化路7號,後面機車棚鐵柱上(右),89.1.13,6
民雄鄉,東新車業有限公司,許清宏,2262575,民雄鄉建國路二段340號,店外柱子上,89.10.3,6
民雄鄉,勝利機車行,曾雍仁,2261458,民雄鄉西安村西安路40-1號,店外柱子上,89.10.3,6
民雄鄉,吉豐機車行,江曜竹,2213607,民雄鄉福樂村埤角336號,店內牆壁上,89.10.3,6
民雄鄉,豐盛機車行,陳燕銘,2211294,民雄鄉北斗村北勢子73之47號,店外柱子上,89.10.30,6
朴子市,朴子市清潔隊,郭展宏,3706495,朴子市光復路34號,清潔隊旁牆壁上,89.1.14,6
朴子市,朴子市公所,郭展宏,3706495,朴子市光復路34號,後面員工機車停車棚,89.1.14,6
朴子市,瑞億機車行,李四峰,3792736,朴子市開元路266號,外面柱子上,89.1.15,6
朴子市,宗泰機車行,陳振興,3793262,朴子市向榮路46號,店內牆壁上,89.1.15,6
朴子市,成邑有限公司,李雪美,3700626,朴子市內厝里北通路67號,店內牆壁上,89.1.15,6
朴子市,崑發機車行,李政樟,3797777,朴子市竹圍里南通路三段575號,右前側柱子上,100.2.1,6
竹崎鄉,竹崎鄉公所,林芳男,2611030,竹崎鄉竹崎村中山路59號,鄉公所旁之車棚,89.3.29,6
竹崎鄉,中興機車行,陳德任,2791082,竹崎鄉灣橋村灣橋331號,店外柱子上,89.10.4,6
竹崎鄉,順達機車行,吳宗錡,2612449,竹崎鄉和平村坑仔坪159號,左側牆壁上,101.9.1,
東石鄉,東石鄉公所,李忠鏞,3732201,東石鄉東石村3號,鄉公所後面車棚,89.3.27,6
東石鄉,吉冠機車行,黃忠利,3733066,東石鄉東石村11鄰東石5號,店外牆壁上,89.10.4,6
梅山鄉,勝豐機車行,吳坤輝,2621324,梅山鄉中山路369號,店內牆壁上,101,4
鹿草鄉,鹿草鄉公所,林國軒,3752711,鹿草鄉西井村287號,清潔隊正門牆壁上,89.3.28,6
鹿草鄉,嘉明車業有限公司,戴義松,3752329,鹿草鄉西井村鹿草548號,店內牆壁上,89.10.4,6
番路鄉,厚吉機車行,蔡石祥,2591289,番路鄉下坑村8鄰下坑36之1號,右側車棚鐵柱,101.9.1,4
新港鄉,台塑新港工業區,翁大山,3772111-240,新港鄉中洋村中洋工業區1號,大門地下停車場,89.1.13,6
新港鄉,台塑新港工業區,翁大山,3772111-240,新港鄉中洋村中洋工業區1號,工業區右後方機車停車場,89.1.13,6
新港鄉,台塑新港工業區,翁大山,3772111-240,新港鄉中洋村中洋工業區1號,工業區左後方機車停車場,89.1.13,6
新港鄉,台塑新港工業區,翁大山,3772111-240,新港鄉中洋村中洋工業區1號,大門地下停車場,89.3.29,6
新港鄉,昇振車業有限公司,郭漢榮,3742320,新港鄉宮後村新民路121號,店內柱子上,93,4
新港鄉,永光機車行,江順德,3742273,新港鄉宮前村文昌街11號,右側牆壁上,101.10.1,
溪口鄉,溪口鄉公所,陳榮福,2695950-26,溪口鄉溪東村中山路127號,鄉公所左側門旁之牆壁,89.3.29,6
溪口鄉,溪口鄉公所,陳榮福,2695950-26,溪口鄉溪東村中山路127號,鄉公所右側門旁之牆壁,89.3.29,6
溪口鄉,溪口國小,蔡伯期,2691013,溪口鄉溪北村中山路53號,辦公室外柱子上,89.10.4,6
義竹鄉,義竹鄉公所,蕭文哲,3411312,義竹鄉仁里村389號,公所旁之牆壁,89.1.14,6
義竹鄉,輝龍車業有限公司,翁瑞祥,3412625,義竹鄉六桂村義竹170-1號,店外柱子上,89.10.30,6
