型態,縣市別,設置單位,地址,聯絡電話,"聯絡人
姓名",檢驗項目,,,服務對象,,服務時段【●：預約制、○：非預約(隨到隨驗)】,,,,,,,,預約方式
,,,,,,HIＶ快篩,HIＶ抽血,梅毒,個人篩檢,伴侶篩檢,時段,星期一,星期二,星期三,星期四,星期五,星期六,星期日,
匿篩醫院,嘉義縣,衛生福利部朴子醫院,嘉義縣朴子市永和里42-50號,05-379-0600#297,林鳳玲,,Ｖ,,Ｖ,Ｖ,08:00~12:00,●,●,●,●,●,●,,□網址：
,,,,,,,,,,,13:30~17:30,●,●,●,●,●,,,■電話：05-379-0600#297#500、05-370-1875
,,,,,,,,,,,,,,,,,,,■電郵：nic@puzih.mohw.gov.tw
同志健康中心,嘉義縣,諸羅部屋,嘉義縣民雄鄉中樂村文化路7之2號3樓,05-2266910,林淑慧,V,V,V,V,V,09:00~12:00,,,,,,,,□網址：
,,,,,,,,,,,13:30-17:30,,,,●,●,●,,■電話：05-2266910
,,,,,,,,,,,18:00-21:00,,,,●,●,●,,□電郵：
衛生所,嘉義縣,朴子市衛生所,嘉義縣朴子市光復路40號,05-3792037,楊育澤,-,V,V,,,08:00~12:00,●,-,●,○,●,-,-,□網址：
,,,,,,,,,,,13:00~17:00,●,○,●,●,●,-,-,■電話：05-3792037
,,,,,,,,,,,18:00~20:00,-,-,-,-,-,-,-,□電郵：
衛生所,嘉義縣,布袋鎮衛生所,嘉義縣布袋鎮新厝里21號,05-3472032,蔡淑如,-,V,V,,,08:00~12:00,○,○,○,○,○,-,-,□網址：
,,,,,,,,,,,13:00~17:00,○,○,○,○,○,-,-,□電話：
,,,,,,,,,,,18:00~20:00,-,-,-,-,-,-,-,□電郵：
衛生所,嘉義縣,太保市衛生所,嘉義縣太保市後潭里443號,05-3711273,李桂芳,-,V,V,,,08:00~12:00,●,●,●,●,●,-,-,□網址：
,,,,,,,,,,,13:00~17:00,●,●,●,●,●,-,-,■電話:05-3711273
,,,,,,,,,,,18:00~20:00,-,-,-,-,-,-,-,□電郵：
衛生所,嘉義縣,大林鄉衛生所,嘉義縣大林鎮中山路252號,05-2652042,黃賢治,-,V,V,,,08:00~12:00,●,●,●,●,●,-,-,□網址：
,,,,,,,,,,,13:00~17:00,●,●,●,●,●,-,-,■電話：05-2652042
,,,,,,,,,,,18:00~20:00,-,-,-,-,-,-,-,□電郵：
衛生所,嘉義縣,民雄鄉衛生所,嘉義縣民雄鄉中樂村文化路7-2號,05-2262018,楊怡然,-,V,V,,,08:00~12:00,●,●,●,●,●,-,-,□網址：
,,,,,,,,,,,13:00~17:00,●,●,●,●,●,-,-,■電話：05-2262018
,,,,,,,,,,,18:00~20:00,-,-,-,-,-,-,-,□電郵：
衛生所,嘉義縣,溪口鄉衛生所,嘉義縣溪口鄉溪北村中山路1號,05-2691046,李秀蓮,-,V,V,,,08:00~12:00,○,○,○,○,○,●,●,□網址：嘉義縣溪口鄉中山路1號
,,,,,,,,,,,13:00~17:00,○,○,○,○,○,●,●,□電話：02-2691046
,,,,,,,,,,,18:00~20:00,●,●,●,●,●,●,●,□電郵：iqeqiq2614@yahoo.com.tw
衛生所,嘉義縣,新港衛生所,嘉義縣新港鄉中山路167號,05-3742025,葉雅婷,-,V,V,,,08:00~12:00,○,○,○,○,○,-,-,□網址：
,,,,,,,,,,,13:00~17:00,○,○,○,○,○,-,-,■電話：05-3742025
,,,,,,,,,,,18:00~20:00,-,-,-,-,-,-,-,□電郵：
衛生所,嘉義縣,六腳鄉衛生所,嘉義縣六腳鄉蒜頭村73-1號,05-3802016,謝麗玲,-,V,V,,,08:00~12:00,○,○,●,○,○,●,●,□網址：
,,,,,,,,,,,13:00~17:00,○,○,○,○,○,●,●,■電話：05-3802016   05-3800616  05-3800694
,,,,,,,,,,,18:00~20:00,●,●,●,●,●,●,●,□電郵：
衛生所,嘉義縣,東石鄉衛生所,嘉義縣東石鄉東石村3-7號,05-3732340,余茜閎,-,V,V,,,08:00~12:00,●,●,●,●,●,-,-,□網址：
,,,,,,,,,,,13:00~17:00,●,●,●,●,●,-,-,■電話：053732340
,,,,,,,,,,,18:00~20:00,-,-,-,-,-,-,-,□電郵：
