¦~,¤ë,¤À§½, ¨T(¾÷¡B ºC)¨®¾r ¾p¤H,¾÷       ¥ó, ¦æ¤H(©Î­¼«È ), ¥æ³qºÞ¨î(³]¬I ),¨ä       ¥L,¦º       ¤`,¨ü       ¶Ë
105,11,¤¤®H¤À§½,119,1,0,0,0,0,78
105,11,¥¬³U¤À§½,34,1,1,0,0,1,22
105,11,¦µ¤l¤À§½,122,0,1,0,0,2,98
105,11,¤ô¤W¤À§½,202,2,0,1,1,0,163
105,11,¥Á¶¯¤À§½,185,0,0,0,1,0,200
105,11,¦Ë±T¤À§½,76,0,1,1,1,0,50
105,10,¤¤®H¤À§½,39,0,0,0,0,2,33
105,10,¥¬³U¤À§½,34,1,0,0,1,0,24
105,10,¦µ¤l¤À§½,65,0,0,0,0,0,60
105,10,¤ô¤W¤À§½,107,0,0,0,1,2,80
105,10,¥Á¶¯¤À§½,110,0,2,0,0,2,114
105,10,¦Ë±T¤À§½,42,0,1,0,0,1,27
105,9,¤¤®H¤À§½,103,1,0,0,0,1,69
105,9,¥¬³U¤À§½,44,0,0,0,1,0,36
105,9,¦µ¤l¤À§½,154,2,2,0,0,0,110
105,9,¤ô¤W¤À§½,175,2,2,3,2,0,114
105,9,¥Á¶¯¤À§½,174,1,1,0,0,0,189
105,9,¦Ë±T¤À§½,52,1,2,1,1,2,44
105,8,¤¤®H¤À§½,82,1,0,0,0,0,66
105,8,¥¬³U¤À§½,34,0,1,0,0,0,21
105,8,¦µ¤l¤À§½,124,1,0,0,0,0,82
105,8,¤ô¤W¤À§½,157,1,1,1,2,2,120
105,8,¥Á¶¯¤À§½,180,0,1,0,0,0,160
105,8,¦Ë±T¤À§½,55,1,0,0,2,1,33
105,7,¤¤®H¤À§½,134,2,0,1,0,3,86
105,7,¥¬³U¤À§½,40,0,0,0,0,1,34
105,7,¦µ¤l¤À§½,136,0,1,1,1,0,113
105,7,¤ô¤W¤À§½,218,2,1,0,1,1,174
105,7,¥Á¶¯¤À§½,230,0,1,2,1,1,186
105,7,¦Ë±T¤À§½,76,2,1,1,2,2,48
105,6,¤¤®H¤À§½,86,2,0,0,0,2,51
105,6,¥¬³U¤À§½,42,1,0,0,0,0,43
105,6,¦µ¤l¤À§½,136,0,2,0,1,1,115
105,6,¤ô¤W¤À§½,169,0,1,0,1,4,119
105,6,¥Á¶¯¤À§½,229,1,3,1,1,0,192
105,6,¦Ë±T¤À§½,68,1,0,0,1,0,40
105,5,¤¤®H¤À§½,65,0,0,0,1,4,82
105,5,¥¬³U¤À§½,22,1,0,1,0,0,31
105,5,¦µ¤l¤À§½,81,0,1,1,0,1,111
105,5,¤ô¤W¤À§½,121,1,0,0,2,0,172
105,5,¥Á¶¯¤À§½,148,0,3,0,1,2,217
105,5,¦Ë±T¤À§½,34,0,1,0,1,0,45
105,4,¤¤®H¤À§½,99,0,2,1,0,0,61
105,4,¥¬³U¤À§½,44,1,0,0,0,0,23
105,4,¦µ¤l¤À§½,125,0,1,0,1,1,91
105,4,¤ô¤W¤À§½,159,2,2,0,3,2,106
105,4,¥Á¶¯¤À§½,209,0,0,0,1,2,171
105,4,¦Ë±T¤À§½,89,0,0,1,1,0,52
105,3,¤¤®H¤À§½,104,1,1,0,0,1,67
105,3,¥¬³U¤À§½,29,1,0,0,0,0,9
105,3,¦µ¤l¤À§½,124,0,1,0,0,0,77
105,3,¤ô¤W¤À§½,189,0,0,1,1,2,132
105,3,¥Á¶¯¤À§½,213,0,0,0,0,0,151
105,3,¦Ë±T¤À§½,58,0,1,2,0,0,39
105,2,¤¤®H¤À§½,111,1,4,0,0,2,66
105,2,¥¬³U¤À§½,56,0,0,1,0,0,33
105,2,¦µ¤l¤À§½,162,1,2,0,0,0,100
105,2,¤ô¤W¤À§½,206,1,0,0,2,2,125
105,2,¥Á¶¯¤À§½,214,0,0,1,0,1,153
105,2,¦Ë±T¤À§½,72,0,1,0,0,0,36
105,1,¤¤®H¤À§½,90,1,1,0,0,0,65
105,1,¥¬³U¤À§½,38,0,0,0,0,1,29
105,1,¦µ¤l¤À§½,127,1,0,0,0,1,115
105,1,¤ô¤W¤À§½,166,1,0,0,0,3,103
105,1,¥Á¶¯¤À§½,183,0,0,2,2,1,141
105,1,¦Ë±T¤À§½,68,1,0,0,0,1,36
104,12,¤¤®H¤À§½,116,0,2,1,1,2,86
104,12,¥¬³U¤À§½,31,0,0,0,0,0,22
104,12,¦µ¤l¤À§½,163,1,0,0,1,2,140
104,12,¤ô¤W¤À§½,183,2,1,1,0,2,150
104,12,¥Á¶¯¤À§½,324,0,2,0,1,2,302
104,12,¦Ë±T¤À§½,76,0,1,0,0,1,66
104,11,¤¤®H¤À§½,145,1,0,0,2,0,112
104,11,¥¬³U¤À§½,36,0,0,0,0,0,30
104,11,¦µ¤l¤À§½,115,0,0,0,2,0,96
104,11,¤ô¤W¤À§½,191,1,1,1,2,1,156
104,11,¥Á¶¯¤À§½,320,1,1,1,1,3,293
104,11,¦Ë±T¤À§½,81,2,1,0,0,1,70
104,10,¤¤®H¤À§½,114,0,0,0,2,1,96
104,10,¥¬³U¤À§½,36,0,0,0,1,0,31
104,10,¦µ¤l¤À§½,140,0,1,0,2,2,98
104,10,¤ô¤W¤À§½,184,0,2,0,0,4,141
104,10,¥Á¶¯¤À§½,279,0,2,0,2,2,275
104,10,¦Ë±T¤À§½,68,1,0,0,2,0,50
