單位別,大貨車,小貨車,大客車,營業小客車,自用小客車,特種車,機車,自行車,其他
103年中埔分局,1,1,0,0,1,0,1,0,0
103年布袋分局,0,2,0,0,3,0,3,0,0
103年朴子分局,2,0,0,0,1,0,5,0,0
103年水上分局,1,3,0,0,5,0,11,2,0
103年民雄分局,3,1,0,0,9,0,5,1,2
103年竹崎分局,0,1,0,0,0,0,2,0,0
104年中埔分局,0,0,2,0,2,0,4,1,3
104年布袋分局,0,1,0,0,1,0,5,0,0
104年朴子分局,0,1,0,0,7,0,3,1,0
104年水上分局,1,1,0,0,10,0,7,2,0
104年民雄分局,0,2,0,0,3,0,6,2,3
104年竹崎分局,1,0,0,0,2,0,2,0,0
105年中埔分局,2,1,0,0,4,0,10,0,1
105年布袋分局,1,1,0,0,3,0,0,1,0
105年朴子分局,0,1,0,0,1,0,6,0,0
105年水上分局,1,1,0,0,6,0,11,1,0
105年民雄分局,0,0,0,0,1,0,8,1,2
105年竹崎分局,0,1,0,0,4,0,1,0,1
