事業單位名稱(負責人姓名),違反法令條款,違反法規內容,處分書文號,處分日期,備註,,,
強本汽車交通事業股份有限公司,勞動基準法第32條第1項,延長勞工工作時間未經勞資會議同意,府社勞資字第10100316439號,101年12月18日,行政院勞工委員會101年度儲配運輸物流與汽車貨運業勞動條件專案檢查,,,
安祺興業有限公司,勞動基準法第30條第1項,勞工每日正常工作時間不得超過八小時，每二週工作總時數不得超過八十四小時,府社勞資字第1010315748號 ,101年10月11日,101年度人力派遣專案檢查,,,
嘉義縣私立詠康老人養護中心,勞動基準法第23條第2項,未置備勞工工資清冊，將發放工資、工資計算項目、工資總額等事項記入,府社勞資字第1010004806號,101年9月7日,101年度養護機構勞動條件專案檢查,,,
嘉義縣私立詠康老人養護中心,勞動基準法第30條第5項,未置備勞工簽到簿或出勤卡，逐日記載勞工出勤情形,府社勞資字第1010004806號,101年9月7日,101年度養護機構勞動條件專案檢查,,,
天壇人力資源有限公司,勞動基準法第36條,未每七日中至少有一日之休息，作為例假,府授社勞資字第1020165680號,102年9月14日,102年度派遣勞動條件專案檢查,,,
財團法人利河伯社會福利基金會附設嘉義縣私立基督養護中心,勞動基準法第36條,未每七日中至少有一日之休息，作為例假,府授社勞資字第1020146967號,102年8月26日,102年度養護機構勞動條件專案檢查,,,
財團法人利河伯社會福利基金會附設嘉義縣私立基督養護中心,勞動基準法第49條,未經工會或勞資會議同意而使女工於午後十時至翌晨六時之時間內工作,府授社勞資字第10201469671號,102年8月26日,102年度養護機構勞動條件專案檢查,,,
守?包裝行,勞動基準法第22條第2項,工資未全額給付,府授社勞資字第1020142460號,102年8月7日,違法情節重大,,,
嘉義縣私立麥米羅幼兒園,勞動基準法第24條,未依規定給付延長工作時間之工資,府授社勞資字第1020079635號,102年5月8日,102年度私立幼兒園勞動條件專案檢查,,,
正隆股份有限公司,勞動基準法第32條第2項,延長工作時間超過法定上限,府授社勞資字第1030042529號,103年3月12日,,,,
弘興交通有限公司,勞動基準法第39條,休假日出勤未加倍給付工資,府授社勞資字第1030134006號,103年7月24日,103年度儲配運輸物流與汽車貨運業務勞動條件專案檢查,,,
財團法人利河伯社會福利基金會附設嘉義縣私立基督老人長期照顧中心,勞動基準法第24條,未依規定給付延長工作時間之工資,府授社勞資字第1030174754號,103年10月21日,103年度養護機構勞動檢查專案檢查,,,
臺中榮民總醫院灣橋分院,勞動基準法第25條,未發給延長工時工資,府授社勞資字第1030237355號,103年12月26日,103年度醫療機構勞動條件專案檢查(詳見檢查計畫書)，屬情形三。,,,
李文華即高山青大飯店,勞動基準法第36條,未每七日中至少有一日之休息，作為例假,府授社勞資字第1040102992號,104年6月30日,,,,
阿里山賓館股份有限公司,勞動基準法第36條,未每七日中至少有一日之休息，作為例假,府授社勞資字第1040134574號,104年8月10日,,,,
俐智茶行,勞動基準法第30條第1項,勞工每日正常工作時間不得超過8小時，每兩週工作時數不得超過84小時,府授社勞資字第1040142496號,104年8月7日,,,,
呂東實業股份有限公司,勞動基準法第24條、第32條第2項,未依規定給付延長工作時間之工資、延長時間超過法定規定,"府授社勞資字第1040146379號
府授社勞資字第10401463791號",104年8月26日,,,,
新美企業社,勞動基準法第24條、第32條第2項、第36條,未依規定給付延長工作時間之工資、延長時間超過法定規定、勞工每七日中至少應有一日之休息，作為例假,"府授社勞資字第1040143439號
府授社勞資字第10401434391號
府授社勞資字第10401434392號",104年8月7日,,,,
