管理單位,水系,抽水站名稱,X坐標(TWD97),Y坐標(TWD97)
布袋鎮公所,金陵排水,好美里西側抽水站,161709,2582113
布袋鎮公所,庄東排水,好美里東側抽水站,162213,2582109
布袋鎮公所,鹽埕溝排水,好美里北側抽水站,161989,2582231
布袋鎮公所,八掌溪,八掌溪南岸堤防抽水站,162137,2580637
布袋鎮公所,八掌溪,好美里大眾爺旁抽水站,162137,2581791
布袋鎮公所,八掌溪,新塭八掌溪抽水站,163490,2579614
布袋鎮公所,龍宮溪,新塭三溝仔抽水站,163046,2582374
布袋鎮公所,新塭排水,新塭虹橋抽水站,163998,2581083
布袋鎮公所,新塭排水,新塭北海道抽水站,164457,2581055
布袋鎮公所,新塭排水,新塭電信局抽水站,164314,2580556
布袋鎮公所,新塭排水,新塭八寶寺抽水站,164091,2581744
布袋鎮公所,新塭排水,新塭鹽田寮抽水站,164091,2581744
布袋鎮公所,龍宮溪,新塭滯洪池北側抽水站,164873,2580369
布袋鎮公所,龍宮溪,新塭滯洪池南側抽水站,164764,2580052
布袋鎮公所,龍宮溪,新岑里活動中心抽水站,165339,2582169
布袋鎮公所,龍宮溪,新岑里龍宮橋抽水站,165173,2582158
布袋鎮公所,龍宮溪,新岑里台17線東側抽水站,165588,2582293
布袋鎮公所,溪墘排水,義布橋抽水站,168091,2585361
布袋鎮公所,溪墘排水,義布橋下游抽水站,167385,2584764
布袋鎮公所,贊寮溝排水,東港里滯洪池抽水站,166441,2586141
布袋鎮公所,贊寮溝排水,東港里嘉19旁抽水站,166296,2586385
布袋鎮公所,贊寮溝排水,東港橋   抽水站,167070,2585768
布袋鎮公所,贊寮溝排水,山寮橋   抽水站,168491,2586025
布袋鎮公所,贊寮溝排水,景山國小旁抽水站,167531,2586845
布袋鎮公所,贊寮溝排水,永安里滯洪池抽水站,166323,2585390
布袋鎮公所,溪墘排水,前東港排水抽水站,166813,2583949
布袋鎮公所,溪墘排水,永安里嘉29旁抽水站,166118,2585170
布袋鎮公所,溪墘排水,永安里台鹽生技旁抽水站,166045,2584582
布袋鎮公所,前東港排水,永安里東側抽水站,166776,2585443
布袋鎮公所,贊寮溝排水,永安里台17線東側抽水站,166047,2585303
布袋鎮公所,贊寮溝排水,讚寮溝台17線西側抽水站,165913,2585272
布袋鎮公所,前東港排水,江山里虎頭山抽水站,167920,2586466
布袋鎮公所,溪墘排水,江山里板仔頭抽水站,168684,2586704
布袋鎮公所,溪墘排水,江山里鐵支路抽水站,168491,2586025
布袋鎮公所,溪墘排水,江山里半路店抽水站,169037,2587032
布袋鎮公所,溪墘排水,菜舖里大眾爺廟抽水站,169793,2587042
布袋鎮公所,內田排水,見龍里內田排水抽水站,165582,2586477
布袋鎮公所,鹽管溝排水,P2抽水站,165051,2586574
布袋鎮公所,鹽管溝排水,鹽管溝抽水站(滯洪池),164353,2587679
布袋鎮公所,庄內排水,興中里60戶抽水站,163971,2587036
布袋鎮公所,庄內排水,海埔新生地北側抽水站,163720,2586659
布袋鎮公所,庄內排水,海埔新生地南側抽水站,163609,2586271
布袋鎮公所,庄內排水,海埔新生地公園邊抽水站,163085,2586252
布袋鎮公所,庄內排水,布袋街內蕭府大帝抽水站,163814,2586497
布袋鎮公所,庄內排水,布袋街內嘉應廟抽水站,163770,2586381
布袋鎮公所,庄內排水,布袋街內布袋港餐廳抽水站,164125,2586140
布袋鎮公所,庄內排水,布袋街內九龍六街抽水站,164271,2586128
