辦理年度,鄉鎮,重劃區名稱,面積(公頃)
49,民雄,秀林,47
50,水上、太保,道將圳,446
50,鹿草,龜山,330
51,大林,湖子,268
52,義竹,新店,318
52,民雄,福興,410
52,民雄,興中,423
53,民雄、新港,中央,678
54,民雄、溪口,好收,1500
55,大林,潭墘,123
55,新港,潭和,1027
55,溪口、民雄,溪口,1159
56,新港、民雄,月潭,881
56,鹿草、義竹,碧潭,868
57,新港、民雄、溪口,新港,1224
57,民雄,平和,480
57,大林,內林,760
57,太保,過溝,874
57,六腳,六嘉,688
58,水上、嘉義市,水上,1061
58,六腳、新港,安和,1454
58,大林,大林,905
58,新港,後庄,431
58,六腳、東石,蒜頭,1520
59,六腳、新港,六美,1078
59,義竹,義竹,1854
59,鹿草、水上,山下,1099
59,太保、水上,後潭,1315
59,太保、六腳,田灣,681
59,溪口、新港,柴林,380
60,水上、太保,安仁,1548
64,朴子,新庄農牧,140
65,朴子、鹿草、太保,荷包嶼,139
66,朴子,雙溪,353
67,鹿草,鹿草,285
67,水上,大堀,103
67,太保,港尾,162
67,太保,管厝,
68,朴子、布袋、義竹、鹿草,松梅,652
69,朴子、鹿草,鴨母寮,617
70,民雄、溪口,福權,700
70,朴子,大?榔,260
70,溪口,崙尾,270
71,朴子、布袋,南勢,1070
71,朴子、東石,湖底,997
72,義竹、布袋,東榮,1000
73,溪口,游厝,410
73,義竹,西過,580
73,鹿草、義竹,光榮,750
74,水上、鹿草,靖和,710
74,六腳、東石,港口宮,300
74,朴子,佳禾,445
75,東石,三江,410
75,鹿草,三角,225
75,民雄,文隆,225
76,布袋、東石,樹林頭,681
76,民雄、新港,西昌,150
77,東石,蚶子寮,238
77,東石、布袋,栗子崙,660
78,布袋,考試潭,140
78,溪口,後港,128
78,溪口,柳溝（一）,144
78,溪口,柳溝（二）,29
79,溪口、民雄,頂寮,104
82,義竹、鹿草,五間厝,214
