學校名稱（中文）,郵遞區號,地址（縣市),地址（鄉鎮市區）,村/里,路/街,段,巷,弄,號,電話區碼,電話
私立同濟高中附設國中部,622,嘉義縣,大林鎮,三和里,中興路,二,,,303,[05],2652248
私立協同高中附設國中部,621,嘉義縣,民雄鄉,雙福村,建國路,二,,,31,[05],2213045
縣立竹崎高中附設國中部,604,嘉義縣,竹崎鄉,竹崎村,文化路,,,,23,[05],2611006
縣立永慶高中附設國中部,612,嘉義縣,太保市,東勢里,信義二路,,,,1,[05],3627226
縣立朴子國中,613,嘉義縣,朴子市,竹圍里,大同路,,,,245,[05],3792201
縣立東石國中,613,嘉義縣,朴子市,安福里,山通路,,,,6,[05],3792027
縣立布袋國中,625,嘉義縣,布袋鎮,光復里,六棟寮,,,,40,[05],3472044
縣立過溝國中,625,嘉義縣,東石鄉,西崙村,栗子崙,,,,438,[05],3451005
縣立大林國中,622,嘉義縣,大林鎮,大糖里,中學路,,,,1,[05],2652014
縣立新港國中,616,嘉義縣,新港鄉,福德村,福德路,,,,106,[05],3742024
縣立民雄國中,621,嘉義縣,民雄鄉,西安村,西安路,,,,147,[05],2262527
縣立大吉國中,621,嘉義縣,民雄鄉,大崎村,內埔仔,,,,2-1,[05],2211651
縣立六嘉國中,615,嘉義縣,六腳鄉,蒜頭村,樹仁路,,,,1,[05],3801215
縣立太保國中,612,嘉義縣,太保市,太保里,,,,,36,[05],3711029
縣立嘉新國中,612,嘉義縣,太保市,北新里,中興路,一,,,250,[05],2373029
縣立溪口國中,623,嘉義縣,溪口鄉,坪頂村,中正東路,,,,103,[05],2691050
縣立鹿草國中,611,嘉義縣,鹿草鄉,鹿草村,鹿草路,,,,132,[05],3752037
縣立東榮國中,614,嘉義縣,東石鄉,永屯村,,,,,39-2,[05],3733803
縣立水上國中,608,嘉義縣,水上鄉,水上村,進學街,,,,45,[05],2682024
縣立忠和國中,608,嘉義縣,水上鄉,忠和村1鄰,,,,,6-2,[05],2891026
縣立中埔國中,606,嘉義縣,中埔鄉,沄水村,,,,,177,[05],2531002
縣立昇平國中,604,嘉義縣,竹崎鄉,內埔村,元興路,,,,138,[05],2541041
縣立義竹國中,624,嘉義縣,義竹鄉,岸腳村,,,,,59-2,[05],3412025
縣立民和國中,602,嘉義縣,番路鄉,下坑村,菜公店,,,,30,[05],2591109
縣立梅山國中,603,嘉義縣,梅山鄉,梅北村,健康街,,,,136,[05],2621047
縣立大埔國中(小),607,嘉義縣,大埔鄉,大埔村,,,,,57,[05],2521014
縣立阿里山國中(小),605,嘉義縣,阿里山鄉,樂野村,,,,,31,[05],2561180
縣立豐山實驗國中(小),605,嘉義縣,阿里山鄉,豐山村,,,,,47,[05],2661071
縣立朴子國小,613,嘉義縣,朴子市,安福里,山通路,,,,11,[05],3792032
縣立大同國小,613,嘉義縣,朴子市,竹圍里,大同路,,,,239,[05],3792144
縣立雙溪國小,613,嘉義縣,朴子市,雙溪里,,,,,30,[05],3795549
縣立竹村國小,613,嘉義縣,朴子市,竹村里,,,,,36,[05],3693628
縣立松梅國小,613,嘉義縣,朴子市,松華里,,,,,345,[05],3691083
縣立大鄉國小,613,嘉義縣,朴子市,大鄉里,,,,,560,[05],3792952
縣立布袋國小,625,嘉義縣,布袋鎮,新厝里,新厝仔路,,,,65,[05],3472007
縣立景山國小,625,嘉義縣,布袋鎮,東港里,,,,,136,[05],3472734
縣立永安國小,625,嘉義縣,布袋鎮,永安里,,,,,126-2,[05],3472654
縣立過溝國小,625,嘉義縣,布袋鎮,中安里,頂厝,,,,1,[05],3451010
縣立貴林國小,625,嘉義縣,布袋鎮,樹林里,,,,,82,[05],3451641
縣立新塭國小,625,嘉義縣,布袋鎮,新民里,,,,,374,[05],3431064
縣立新岑國小,625,嘉義縣,布袋鎮,新岑里,,,,,4,[05],3431525
縣立好美國小,625,嘉義縣,布袋鎮,好美里,,,,,106,[05],3431524
縣立大林國小,622,嘉義縣,大林鎮,西林里,中正路,,,,423,[05],2652061
縣立三和國小,622,嘉義縣,大林鎮,三和里,中興路,二,,,937,[05],2952145
縣立中林國小,622,嘉義縣,大林鎮,中林里,中林路,,,,147,[05],2653941
縣立排路國小,622,嘉義縣,大林鎮,排路里,排子路,,,,231,[05],2694974
縣立社團國小,622,嘉義縣,大林鎮,三角里,下林頭路,,,,51,[05],2952504
縣立民雄國小,621,嘉義縣,民雄鄉,中樂村,民族路路,,,,43,[05],2262022
縣立東榮國小,621,嘉義縣,民雄鄉,頂崙村,,,,,105,[05],2262076
縣立三興國小,621,嘉義縣,民雄鄉,三興村,,,,,55,[05],2720042
縣立菁埔國小,621,嘉義縣,民雄鄉,菁埔村,,,,,130-3,[05],2262581
縣立興中國小,621,嘉義縣,民雄鄉,興中村,興中路,,,,30,[05],2214725
縣立秀林國小,621,嘉義縣,民雄鄉,北斗村,北勢子路,,,,17,[05],2215690
縣立松山國小,621,嘉義縣,民雄鄉,松山村,松子腳,,,,43-1,[05],2721831
縣立大崎國小,621,嘉義縣,民雄鄉,秀林村,林子尾路,,,,66,[05],2212871
縣立溪口國小,623,嘉義縣,溪口鄉,溪北村,中山路,,,,53,[05],2691013
縣立美林國小,623,嘉義縣,溪口鄉,美北村,,,,,78-3,[05],2691150
縣立柴林國小,623,嘉義縣,溪口鄉,柴林村,,,,,107,[05],2691440
縣立柳溝國小,623,嘉義縣,溪口鄉,柳溝村,南靖厝,,,,5,[05],2691071
縣立新港國小,616,嘉義縣,新港鄉,福德村,登雲路路,,,,105,[05],3742039
縣立文昌國小,616,嘉義縣,新港鄉,宮前村,古民街,,,,12,[05],3742172
縣立月眉國小,616,嘉義縣,新港鄉,月眉村,,,,,123,[05],3772059
縣立古民國小,616,嘉義縣,新港鄉,古民村,,,,,161,[05],3742154
縣立復興國小,616,嘉義縣,新港鄉,北崙村,,,,,75-4,[05],3760424
縣立安和國小,616,嘉義縣,新港鄉,安和村,,,,,46,[05],3772940
縣立蒜頭國小,615,嘉義縣,六腳鄉,蒜頭村,,,,,188,[05],3802025
縣立六腳國小,615,嘉義縣,六腳鄉,六腳村,,,,,105,[05],3781403
縣立六美國小,615,嘉義縣,六腳鄉,六斗村,,,,,31,[05],7812708
縣立灣內國小,615,嘉義縣,六腳鄉,灣南村,,,,,6,[05],3802306
縣立更寮國小,615,嘉義縣,六腳鄉,更寮村,,,,,19,[05],3796309
縣立北美國小,615,嘉義縣,六腳鄉,崙陽村,,,,,122,[05],7811429
縣立東石國小,614,嘉義縣,東石鄉,猿樹村,,,,,117,[05],3732295
