業別,團  體  名  稱,理事長,會址或通訊處,電    話
工業,嘉義縣工業會,林宸慶,嘉義市民權路278號6樓,T:2784321 F:2788236
商業,嘉義縣商業會,張嘉瀧,嘉義縣民雄鄉福樂村埤角408之18號,2131313  2131515 F:2133737
商業,嘉義縣自行車商業同業公會,顏隆正,嘉義縣朴子市黎明路142號,3700052  05-2261731
商業,嘉義縣旅館商業同業公會,程婉君,嘉義市文化路79號3樓,"2256596
0929959359"
商業,嘉義縣家畜肉類商業同業公會,馮清山,通訊處:嘉義縣朴子市竹村里鴨母寮路1之8號,3694339
商業,嘉義縣中藥商業同業公會,江耀輝,嘉義市維忠街28號,2786153  2756796
商業,嘉義縣西藥商業同業公會,張德芳,嘉義縣民雄鄉福興村牛稠溪1350號,3412052   2278693  2232439
商業,嘉義縣米穀商業同業公會,涂谷平,嘉義市廣寧街90號,2223981  2225559
商業,嘉義縣汽車保養商業同業公會,王冠凱,嘉義市世賢路1段649號3樓,2312900 F:2312912
商業,嘉義縣金銀珠寶商業同業公會,簡明鎮,嘉義市北門街74號,2893475 2764339
商業,嘉義縣電器商業同業公會,蔡德財,嘉義市永安街120號,2222028
商業,嘉義縣進出口商業同業公會,陳秀妙,嘉義市民國路174號4樓1,2761256 F:2761315
商業,嘉義縣木材商業同業公會,黃國欽,嘉義市林森西路187號5樓,2222568
商業,嘉義縣糕餅商業同業公會,吳俊宏,嘉義縣民雄鄉福樂村埤角408之19號,2131313 F:2133737  2131515
商業,嘉義縣烹飪商業同業公會,黃湘瓴,嘉義縣民雄鄉福樂村埤角408之19號,2131313 F:2133737
商業,嘉義縣布商業同業公會,林明陽,嘉義縣民雄鄉福樂村埤角408-19號,2131717
商業,嘉義縣冰?飲品商業同業公會,李慶松,嘉義縣中埔鄉和興村中華路857號,2392252    2393071
商業,嘉義縣魚類商業同業公會,黃義北,嘉義縣東石鄉東石村89-3號,吳:3730203   3730203 3732971
商業,嘉義縣製麵商業同業公會,李宏明,嘉義市文化路79號3樓,2252085  O:2252085
商業,嘉義縣家具商業同業公會,李國梁,辦公處嘉義市文化路79號3樓,2955750 2251746 3712847
商業,嘉義縣銀行商業同業公會,王素鑾,太保市祥和村祥和一路2號,3620016-128 F:3620021  3620016-119
商業,嘉義縣建築材料商業同業公會,陳賢貴,嘉義縣民雄鄉福樂村埤角408之19號,2131313  2131515
商業,嘉義縣當鋪商業同業公會,張宏富,會址變更：嘉義市北港路507號,2815858
商業,嘉義縣資源回收商業同業公會,鄭鴻慶,嘉義市文化路79號3樓,2280818  2275638
商業,嘉義縣印刷商業同業公會,葉炳煌,嘉義縣新港鄉中正路123號,3746548
商業,嘉義縣鐘錶眼鏡商業同業公會,陳拓源,嘉義市漢口路80號,2063789   F:2260383
商業,嘉義縣汽車貨運商業同業公會,陳茂林,嘉義縣太保市過溝里麻太路232號,05-2684114
商業,嘉義縣食油商業同業公會,張鴻明,嘉義市文化路79號3樓,2251746
商業,嘉義縣土木包工商業同業公會,林宏祐,嘉義縣朴子市613吉祥7街70號,3622767 F:3622913
商業,嘉義縣機車商業同業公會,吳陳麗華,嘉義市大業街73號,2254710
商業,嘉義縣植物保護商業同業公會,林文政,嘉義市文化路79號3樓,2233160公  2772625朱
商業,嘉義縣液化氣體燃料商業同業公會,賴新登,嘉義市民生北路12號8樓2室,2233248
商業,嘉義縣圖書教育用品同業公會,盧大春,嘉義市文化路79號3樓,T:2231551    F:2232672
商業,嘉義縣機器商業同業公會,邱聰德,嘉義市文化路79號3樓,2251550  2262265
商業,嘉義縣洗衣商業同業公會,林振福,嘉義市國華街106-2號5F7,2228360  2228370
商業,嘉義縣計程車客運商業同業公會,洪東元,嘉義市廣寧街90號2樓,05-2224943
商業,嘉義縣橡膠製品商業同業公會,張乃元,嘉義縣民雄鄉福樂村埤角408之19號,2132525
商業,嘉義縣塑膠製品商業同業公會,張碩峰,嘉義縣民雄鄉福樂村埤角408之19號,2132525
商業,嘉義縣加油站商業同業公會,葉坤福,嘉義縣太保市南新里中山路一段97號,2867799-總
商業,嘉義縣廣告工程商業同業公會,賴素皇,嘉義市文化路79號3樓,2233160
商業,嘉義縣紙器商業同業公會,張碩峰,嘉義縣民雄鄉福樂村埤角408之19號,2211505
商業,嘉義縣廢棄物清理處理商業同業公會,林岱杰,嘉義縣新港鄉中山路135號,3745055
商業,嘉義縣餐盒食品商業同業公會,張芷?,民雄鄉福樂村埤角408之19號,2131515
商業,嘉義縣旅行商業同業公會,張景皓,嘉義縣民雄鄉福樂村埤角408之19號,2131313  2131515
商業,嘉義縣遊覽車客運商業同業公會,賴皇叡,嘉義縣民雄鄉福樂村埤角408之19號,2131313  2131515
商業,嘉義縣禮儀用品商業同業公會,蘇慧蘭,嘉義縣民雄鄉福樂村埤角408之19號,2131313  2131515
商業,嘉義縣裝潢材料商業同業公會,吳進荷,嘉義縣民雄鄉福樂村埤角408之19號,2131313  2131515
商業,嘉義縣寢具商業同業公會,潘志雄,嘉義縣民雄鄉福樂村埤角408之19號,2131313  2131515
商業,嘉義縣手工藝品商業同業公會,李孝儀,民雄鄉福樂村埤角408之19號,2131313  2131515
商業,嘉義縣園藝花卉商業同業公會,簡辰諺,嘉義縣民雄鄉福樂村埤角408之19號,2131313  2131515
商業,嘉義縣佛具商業同業公會,郭恆烈,嘉義縣民雄鄉福樂村埤角408之19號,2131313  2131515
商業,嘉義縣清潔服務商業同業公會,張景鳴,嘉義縣民雄鄉福樂村埤角408之19號,2131313  2131515
商業,嘉義縣鞋業商業同業公會,蘇慧蘭,嘉義縣民雄鄉福樂村埤角408之19號,2131313  2131515
商業,嘉義縣景觀工程商業同業公會,翁婉君,嘉義縣民雄鄉621福樂村埤角408之19號,2131313  2131515
商業,嘉義縣金屬家具商業同業公會,張景鳴,嘉義縣民雄鄉福樂村埤角408之19號,2131313  2131515
商業,嘉義縣山貨商業同業公會,林明富,嘉義縣民雄鄉福樂村埤角408之19號,2131313  2131515
商業,嘉義縣五金商業同業公會,陳誠培,嘉義縣民雄鄉福樂村埤角408之19號,2131313  2131515
商業,嘉義縣體育用品商業同業公會,郭恒烈,嘉義縣民雄鄉福樂村埤角408之19號,2131313  2131515
商業,嘉義縣事務器械商業同業公會,張又文,會址嘉義縣民雄鄉福樂村埤角408之19號,2131313  2131515
商業,嘉義縣玩具商業同業公會,張益彰,嘉義縣民雄鄉福樂村埤角408之19號,2131313  2131515
商業,嘉義縣茶商業同業公會,張景皓,嘉義縣民雄鄉福樂村埤角408之19號,2131313  2131515
商業,嘉義縣電信器材商業同業公會,張乃元,嘉義縣民雄鄉福樂村埤角408之19號,2131313  2131515
商業,嘉義縣廚具商業同業公會,謝天宋,嘉義縣民雄鄉福樂村埤角408之19號,2131313  2131515
商業,嘉義縣葬儀商業同業公會,柯純仁,聯:嘉義縣水上鄉南鄉村牛稠埔105號,公會:2893719  3748673
商業,嘉義縣電腦商業同業公會,張碩峰,嘉義縣民雄鄉福樂村埤角408之19號,2131313  2131515
商業,嘉義縣不動產開發商業同業公會,張嘉瀧,嘉義縣民雄鄉福樂村埤角408之20號,2131515  2217500
商業,嘉義縣消防工程器材商業同業公會,林裕展,嘉義縣民雄鄉文化路26-34號,2263523
商業,嘉義縣酒類商業同業公會,蕭茂榮,嘉義縣民雄鄉民雄工業區中正路25號,05-2131818    05-2131818#169
商業,嘉義縣化粧品商業同業公會,王祈晴,嘉義縣水上鄉水上村嘉朴路139號,2687555*211
自由職業,嘉義縣醫師公會,吳正雄,會館:嘉義縣太保市太保五路70號,3625789    0933676931
自由職業,嘉義縣牙醫師公會,李口榮,聯絡處:嘉義市世賢路1段677號6樓之1,2316363  3702838 0937652708
自由職業,嘉義縣中醫師公會,林峻生,嘉義市垂揚路580號9樓之2,2256508   F:2254043
自由職業,嘉義縣藥師公會,蕭博勝,會館:嘉義市仁愛路347號5樓8,2275959  2276161 05-2268345
自由職業,嘉義縣助產師助產士公會,王秀美,嘉義市東義路156巷19弄4號,2776200
自由職業,嘉義縣護理師護士公會,朱翠萍,嘉義縣朴子市嘉朴路西段6號,3621283  0928672586
自由職業,嘉義縣藥劑生公會,吳文正,太保市太保里112之23號,3702268  3715012 0910887971
自由職業,嘉義縣齒模製造技術員公會,何榮輝,嘉義市向榮街219之9號5樓之1,2311851  2282365
自由職業,嘉義縣醫事檢驗師公會,李奇聰,嘉義縣大林鎮民生路2號二樓臨床病理科,3620609  2648000-5312
自由職業,嘉義縣獸醫師公會,翁有助,嘉義縣太保市祥和新村太保一路1號(家畜疾病防治所),3620025 2327146
自由職業,嘉義縣新聞記者公會,鄭榮文,聯絡地:嘉義市垂楊路17號,2224100 0932844276
自由職業,嘉義縣教育會,陳宸鈁,嘉義縣太保市中山一路140號（南新國小）,2373005*222  0928787670
自由職業,嘉義縣朴子市教育會,戴明喜,朴子市竹圍里大同路239號,3700714
自由職業,嘉義縣大林鎮教育會,簡文智,大林鎮中林里147號,2215690  2952145  
自由職業,嘉義縣布袋鎮教育會,李一翔,布袋鎮新民里374號,3431064
自由職業,嘉義縣民雄鄉教育會,江校長,民雄鄉頂崙村105號,2262022
自由職業,嘉義縣溪口鄉教育會,郭坤池,溪口鄉柴林村107號,2697408
自由職業,嘉義縣新港鄉教育會,楊瑤東,新港鄉福德路106號(安和國小),3772940   3742024-113
自由職業,嘉義縣六腳鄉教育會,楊瑤東,六腳鄉蒜頭村188號(蒜頭國小),3802025
自由職業,嘉義縣東石鄉教育會,鄧士賢,東石鄉東石猿樹村117號之2(東榮國中),3730090
自由職業,嘉義縣義竹鄉教育會,黃華林,義竹鄉岸腳村59之2號(義竹國小),3412025
自由職業,嘉義縣鹿草鄉教育會,黃國軍,嘉義縣鹿草鄉鹿草村439號,05-3752037轉14
自由職業,嘉義縣太保市教育會,林金印,嘉義縣太保市太保里31號,3711029//黃05-3711015
自由職業,嘉義縣水上鄉教育會,魏昭雄,水上鄉中和村1鄰6號之2(忠和國中),2890295
自由職業,嘉義縣中埔鄉教育會,溫春娥,中埔鄉中埔村177號(中埔國中),2533325  2831094
自由職業,嘉義縣番路鄉教育會,李福禎,番路鄉下坑村菜公店91號(民和國中),2591109
自由職業,嘉義縣竹崎鄉教育會,謝採琴,竹崎鄉內埔村元興路2號(內埔國小),2541005
自由職業,嘉義縣梅山鄉教育會,李玉勤,梅山鄉大南村大草埔15號,2621253
自由職業,嘉義縣阿里山鄉教育會,武志明,阿里山鄉樂野村1鄰31號,2561180
自由職業,嘉義縣大埔鄉教育會,何嘉祥,大埔鄉大埔村57號,2521024
自由職業,社團法人嘉義縣地政士公會,陳清文,嘉義縣新港鄉文昌街27號,3742456  3413096
自由職業,嘉義縣醫事放射師公會,陳文昌,嘉義縣朴子市嘉朴路西段6號,"3621000轉2614 2616
3621000轉3598  0928585894"
自由職業,嘉義縣記帳及報稅代理人公會,林隴,嘉義縣水上鄉水1上村義德街42號,2687789  0911723789
自由職業,嘉義縣呼吸治療師公會,方瑱珮,嘉義縣朴子市仁和里嘉朴路西段8號（長庚醫院嘉義院區綜合醫學大樓11樓G棟呼吸治療科科務室-會議室）,"3621000*2318
0975205701"
自由職業,嘉義縣記帳士公會,何金葉,聯絡地:嘉義縣民雄鄉北斗村北勢仔57-3號,05-2200228   F05-2209049
自由職業,嘉義縣物理治療師公會,關永基,嘉義縣大林鎮民生路2號感恩樓復健科,05-2648000轉5550.5569.5551  0921560138  0911911246
自由職業,嘉義縣建築師公會,王鏡偉,嘉義縣水上鄉中興路560號5樓,05-2681288   F:05-2686333
學術文化,嘉義縣美術協會,李玉明,通訊：嘉義市杭州四街22號,2535474 2852828 0911177717
學術文化,嘉義縣書畫協進會,張嘉昇,嘉義縣民雄西安村46號,2263042   0937652372
學術文化,嘉義縣青溪新文藝學會,毛啟華,連絡地址：嘉義市東區公園街131號,988245537
學術文化,嘉義縣詩學研究會,柯慶瑞,嘉義縣東石鄉港墘村76-1號,3732619  0937307983
學術文化,嘉義縣各姓思源學會,羅恭敬,水上鄉三鎮村南靖車店123號,2682604  2352135
學術文化,嘉義縣書法學會,吳國進,嘉義縣六腳鄉灣南村95號,3798742    0988683873 0937316667 
學術文化,嘉義縣圍棋協會,黃基全,聯絡處:嘉義縣朴子市文明南路34巷15號,0936400255 0935754697
學術文化,嘉義縣中天五術學會,龔保林,嘉義縣太保市春珠里63號,3711291  3711621
學術文化,嘉義縣補教協會,鍾瑩玲,嘉義縣番路鄉下坑村菜公店108-21號,05-2600270  3791055
學術文化,嘉義縣書法教育協會,楊濬誌,嘉義縣大林鎮中學路89號,2650223
學術文化,社團法人嘉義縣布袋嘴文化協會,?錦財,嘉義縣布袋鎮光復里光復路一段80號一樓,3478817 0972048242
學術文化,嘉義縣河洛文化研究會,鄧政盛,嘉義縣水上鄉水頭村新進街28號(幼能幼稚園),2601111  2602222
學術文化,嘉義縣攝影學會,陳信谷,嘉義縣水上鄉三鎮村2之7號,05-3745378   0939810678 0903526731
學術文化,嘉義縣陶藝園鄉土創意協會,沈香齊,番路鄉下坑村35號,2591650 0989726868 0932788571
學術文化,嘉義縣香業發展協會,陳文忠,新港鄉菜公村23之6號,3740669 0937652800
學術文化,嘉義縣大林蔗糖文化園區發展協會,陳哲男,大林鎮中興路231號,2656369   2642762
學術文化,嘉義縣客家文化協會,賴嘉吉,會址嘉義縣中埔鄉金蘭村頂山門29號,2249587   F2300840  2397565   2309558
學術文化,嘉義縣母語文化教育協會,董淑連,嘉義縣民雄鄉福權村福權45之2號,"2269797  2269796
2260712 0982082404"
學術文化,嘉義縣柿仔腳文化協會,邱登茂,番路鄉江西村柿仔腳45號,2594902   0919058096
學術文化,嘉義縣龍岩文化發展協會,廖國欽,嘉義縣大林鎮中坑里19鄰芎蕉山25號,"05-2721184
0985608615"
學術文化,嘉義縣義竹鴿笭文化發展協會,林福傳,嘉義縣義竹鄉新富村牛稠底78號 ,"3412828
0933280787   34184863"
學術文化,嘉義縣鄒族庫巴特富野社文化發展協會,汪義福,嘉義縣阿里山鄉605達邦村10鄰283號,05-2562547轉177湯文賢 0937476115 0912751301 2511489
學術文化,嘉義縣保安魚寮文化協會,鐘柏州,嘉義縣太保市612港尾里魚寮8號,05-2384201 0928777769 0938500075
學術文化,嘉義縣阿里山鄒族達邦庫巴文化發展協會,汪俊松,嘉義縣阿里山鄉達邦村3鄰62號,937651748 0983151878
學術文化,嘉義縣布袋采風文化發展協會,蔡清忠,嘉義縣布袋鎮岑海里13鄰新北六街103號 ,05-3476899  0932879926  
學術文化,嘉義縣創意畫會,陳寶秀,嘉義縣民雄鄉建國路一段95巷19號,05-2060463 0932806824
學術文化,嘉義縣青草文化協會,吳浩誠,嘉義縣朴子市四維路二段8號,05-3702797 0924068899
學術文化,嘉義縣福慧圓滿易經學會,陳文啟,嘉義縣水上鄉義德街42號,"2680835
0910837378 0932957873"
學術文化,嘉義縣水上鄉崎仔頭文化藝術發展協會,賴伯瑞,嘉義縣水上鄉寬士村崎仔頭31-58號,3627226-209  0920593169
學術文化,嘉義縣咪咪笑農村生活美學推廣協會,葉許香,嘉義縣太保市北新里北興路358巷36號,932711031 0931752728
學術文化,嘉義縣六腳鄉工廠社區永續發展協會,賴淑娟1,嘉義縣六腳鄉工廠村122號,3802780  362053 0963161365
學術文化,嘉義縣妙哉藝天下協會,李靜連,嘉義縣布袋鎮東安里252號,920761511 3454251
學術文化,嘉義縣原住民山林文化保育協會,汪陳婷,嘉義縣阿里山鄉新美村82號,2513369 0930657829 0988675403
