機構名稱,負責人,核准床數,106年5月31日止收住人數,地址,電話及傳真,傳真
嘉義縣私立瑞泰社會福利基金會附設嘉義縣私立幸福老人長期照顧中心(養護型),陳俊男,90床(含31床插管),養護：90人,602番路鄉新福村5鄰許厝22號,05-2590613 05-2593298,05-2592833
財團法人嘉義縣私立開元殿福松老人養護中心,葉松海,138床(含60床插管),養護：119人,623溪口鄉柴林村65之2號,05-2691234 05-2694400 ,05-2698671
財團法人利河伯社會福利基金會附設嘉義縣私立基督老人長期照顧中心（養護型）,林永基,70床(含30床插管),養護：56人,622大林鎮西林里西榮路3號,05-2656969 ,05-2652040
嘉義縣私立祥和老人長期照顧中心（養護型）,呂文正,31床,養護：29人,614東石鄉洲仔村14鄰洲仔188號,05-3703285 05-3703685,05-3703185
嘉義縣私立祥賀老人長期照顧中心（養護型）,董錦貴,49床(含15床插管),養護：34人,622大林鎮上林里大民北路15號,05-2642933,05-2648190
嘉義縣私立慶安老人長期照顧中心（養護型）,江郁文,42床(含15床插管),養護：40人,606中埔鄉和美村後庄202號,05-2309868,05-2309098
嘉義縣私立養生老人長期照顧中心（養護型）,劉易青,49床(含24床插管),養護：45人,604竹崎鄉灣橋村6鄰李厝10-1號,05-2791700 ,05-2792685
嘉義縣私立福安老人長期照顧中心(養護型),王文禎,49床(含15床插管),養護：46人,613朴子市溪口里10鄰雙溪口174之20號,05-3700895,05-3661332
嘉義縣私立雙福寶佛門老人長期照顧中心（養護型）,許麗琴,45床(含15床插管),養護：37人,621民雄鄉建國路2段187-101號,05-2260899,05-2269295
嘉義縣私立惜福老人長期照顧中心(養護型),張嘉昇,47床(含21床插管),養護：31人,621民雄鄉東榮村3鄰中庄21-20號,05-2263830,05-2265119
嘉義縣私立博愛老人長期照顧中心(養護型),江好音,48床(含15床插管),養護：28人,622大林鎮三村里2鄰潭墘36號,05-2951619,05-2956176
嘉義縣私立長春老人養護中心,江鴻鈞,38床(含15床插管),養護：17人,606中埔鄉和興村17鄰後庄39巷96之1號,05-2302338 05-2301012,05-2303146
嘉義縣私立尚愛老人養護中心,黃秋美,44床(含15床插管),養護：41人,624義竹鄉頭竹村6鄰265號,05-3418500 05-3418588,05-3413553
嘉義縣私立長青老人養護中心,張秀桃,49床（5長44養(含10插)）,養護：46人,604竹崎鄉灣橋村340巷22號之2,05-2791499 ,05-2792596
嘉義縣私立雙福寶慈濟佛門老人養護中心,許哲源,46床(含23床插管),養護：41人,622大林鎮平林里下潭底69號,05-2657899,05-2641666
嘉義縣私立怡園老人養護中心,呂文正,42床(含15床插管),養護：36人,613朴子市永和里應菜埔150之8號,05-3705522,05-3796244
嘉義縣私立松柏老人養護中心,邱徐丹琴,49床(含15床插管),養護：47人,604竹崎鄉緞繻村松腳1之11號,05-2630201 05-2630583,05-2630538
嘉義縣私立感恩老人養護中心,張嘉雄,36床(含15床插管),養護：36人,621民雄鄉東榮村中庄21之45號,05-2266062 ,05-2265119
嘉義縣私立大林老人養護中心,詹淑美,49床,養護：47人,622大林鎮三和里10鄰民生路478號,05-2654687 ,05-2658877
嘉義縣私立中林老人養護中心,林雨正,32床(含15床插管),養護：26人,622大林鎮中林里中林155號,05-2655233 ,05-2659132
嘉義縣私立南新老人養護中心,葉錦吉,38床(含15床插管),養護：35人,612太保市南新里南埤路120巷70號,05-2383837,05-2387965
嘉義縣私立慈護老人養護中心,朱宏儒,14床,養護：14人,612太保市麻寮里19鄰麻太路98巷16號,05-2386267,05-2383953
嘉義縣私立宜家老人長期照顧中心（養護型）,何欽棠,45床(含15床插管),養護：43人,622大林鎮三村里1鄰潭漧1之5號,05-2955081,05-2955132
嘉義縣私立松庭老人長期照顧中心(養護型),李嘉勝,37床(含15床插管),養護：12人,621民雄鄉興中村3鄰劉竹仔腳15之3號,05-2212338,05-2209949
嘉義縣私立慈保老人養護中心,賀守芬,49床(含15床插管),養護：46人,606中埔鄉隆興村枋樹腳20之20號,05-2537112-3,05-2539140
嘉義縣私立六福老人長期照顧中心(養護型),鄭嘉信,49床(含21床插管),養護：3人,621民雄鄉建國路2段273巷12號,05-2066161,05-2066262
