分區,縣市,醫療院所,服務項目-藥癮,服務項目-酒癮,地址,聯絡電話,指定類別
臺北區,臺北市,臺北市立聯合醫院松德院區,松德院區：門診、住院、替代治療,松德院區：門診、住院,臺北市信義區松德路309號,02-27263141,藥癮戒治核心醫院
臺北區,臺北市,臺北市立聯合醫院林森中醫昆明院區,門診、替代治療,門診,臺北市萬華區昆明街100號,02-23703739,藥癮戒治醫院
臺北區,臺北市,臺北市立聯合醫院仁愛院區,門診,門診,臺北市大安區仁愛路四段10號,02-27093600,藥癮戒治診所
臺北區,臺北市,臺北市立聯合醫院中興院區,門診,門診,臺北市鄭州路145號,02-25523234,藥癮戒治診所
臺北區,臺北市,臺北市立聯合醫院忠孝院區,門診,門診,臺北市南港區同德路87號,02-27861288,藥癮戒治診所
臺北區,臺北市,臺北市立聯合醫院陽明院區,門診,門診,臺北市士林區雨聲街105號,02-28353456,藥癮戒治診所
臺北區,臺北市,臺北市立聯合醫院和平婦幼院區,門診,門診,臺北市中華路二段33號,02-23889595,藥癮戒治診所
臺北區,臺北市,三軍總醫院附設民眾診療服務處,門診、替代治療,門診,臺北市內湖區成功路2段325號,02-87923311,藥癮戒治核心醫院
臺北區,臺北市,三軍總醫院北投分院附設民眾診療服務處,門診、住院、替代治療,門診、住院,臺北市北投區新民路60號,02-28959808,藥癮戒治核心醫院
臺北區,臺北市,臺北榮民醫院,門診、住院,門診、住院,臺北市北投區石牌路2段201號,02-28757027,藥癮戒治核心醫院
臺北區,臺北市,新光醫療財團法人新光吳火獅紀念醫院,門診,門診,臺北市士林區文昌路95號,02-28332211,藥癮戒治醫院
臺北區,臺北市,基督復臨安息日會醫療財團法人臺安醫院,門診,門診,臺北市松山區八德路2段424號,02-27718151,藥癮戒治醫院
臺北區,臺北市,臺北市立萬芳醫院-委託財團法人臺北醫學大學辦理,門診、住院,門診、住院,臺北市文山區興隆路3段111號,02-29307930,藥癮戒治醫院
臺北區,臺北市,臺北醫學大學附設醫院,門診,門診,臺北市信義區吳興街252號,02-27372181,藥癮戒治醫院
臺北區,臺北市,國泰醫療財團法人國泰綜合醫院,門診,門診,臺北市大安區仁愛路3段280號,02-27082121,藥癮戒治醫院
臺北區,臺北市,國立臺灣大學醫學院附設醫院,門診,無,臺北市中山南路7號,02-23133456,藥癮戒治診所
臺北區,臺北市,中國醫藥大學附設醫院臺北分院,門診,門診,臺北市內湖區內湖路2段360號,02-27919696,藥癮戒治醫院
臺北區,臺北市,臺北市立關渡醫院,門診,門診,臺北市北投區知行路225巷12號5樓,02-28587000,藥癮戒治醫院
臺北區,臺北市,長庚醫療財團法人台北長庚紀念醫院,門診,無,臺北市敦化北路199號,02-27135211,藥癮戒治診所
臺北區,臺北市,博仁綜合醫院,門診,門診,臺北市松山區光復北路66號,02-25786677,藥癮戒治診所
臺北區,新北市,財團法人天主教耕莘醫院,門診、替代治療,門診,新北市新店區中正路362號,02-22193391,藥癮戒治醫院
臺北區,新北市,衛生福利部樂生療養院,門診、替代治療,無,新北市新莊區中正路794號,02-82006600,藥癮戒治醫院
臺北區,新北市,衛生福利部臺北醫院,門診、替代治療,無,新北市新莊區思源路127號,02-22765566,藥癮戒治醫院
臺北區,新北市,新北市立聯合醫院三重院區,門診、替代治療,門診,新北市三重區中山路2號,02-29829111,藥癮戒治醫院
臺北區,新北市,新北市立聯合醫院板橋院區,門診、替代治療,門診,新北市板橋區英士路198號,02-22575151,藥癮戒治醫院
臺北區,新北市,財團法人台灣省私立台北仁濟院附設新莊仁濟醫院,門診、住院,門診、住院,新北市新莊區瓊林路100巷27號,02-22015222,藥癮戒治醫院
