名稱,指定別,主管機關,類別,位置,公告日期
王得祿墓,國定,文化部,陵墓,嘉義縣六腳鄉雙涵村東北邊農地上,民國72（1983）年12月28日
新港水仙宮,國定,文化部,祠廟,嘉義縣新港鄉南港村舊南港58號,民國74（1985）年11月27日
新港奉天宮,縣定,嘉義縣政府,祠廟,嘉義縣新港鄉大興村新民路53號,民國74（1985）年8月19日
六興宮,縣定,嘉義縣政府,祠廟,嘉義縣新港鄉溪北村溪北65號,民國74（1985）年11月27日
新港大興宮,縣定,嘉義縣政府,祠廟,嘉義縣新港鄉大興村中正路73號,民國74（1985）年11月27日
大士爺廟,縣定,嘉義縣政府,祠廟,嘉義縣民雄鄉中樂村中樂路81號,民國74（1985）年11月27日
半天巖紫雲寺,縣定,嘉義縣政府,祠廟,嘉義縣番路鄉民和村岩仔6號,民國74（1985）年11月27日
吳鳳廟,縣定,嘉義縣政府,祠廟,嘉義縣中埔鄉社口村1號,民國74（1985）年11月27日
朴子配天宮,縣定,嘉義縣政府,祠廟,嘉義縣朴子市開元路118號,民國92（2003）年3月13日
義竹翁清江宅,縣定,嘉義縣政府,宅第,嘉義縣義竹鄉六桂村261號,民國97（2008）年2月26日
竹崎車站,縣定,嘉義縣政府,車站,嘉義縣竹崎鄉竹崎村舊車站11號,民國98（2009）年3月4日
奮起湖車庫,縣定,嘉義縣政府,車庫,竹崎鄉中和村奮起湖車站旁,民國98（2009）年3月2日
阿里山貴賓館,縣定,嘉義縣政府,宅第,嘉義縣阿里山鄉阿里山國家森林遊樂區內,民國98（2009）年3月2日
樹靈塔,縣定,嘉義縣政府,碑碣,嘉義縣阿里山鄉阿里山國家森林遊樂區內,民國98（2009）年3月2日
琴山河合博士旌功碑,縣定,嘉義縣政府,碑碣,嘉義縣阿里山鄉阿里山國家森林遊樂區內,民國98（2009）年3月2日
原臺灣總督府氣象台阿里山觀象所,縣定,嘉義縣政府,其他,嘉義縣阿里山鄉中正村東阿里山73-1號,民國102（2013）年4月11日
嚴禁匠民越界私墾碑,縣定,嘉義縣政府,碑碣,嘉義縣梅山鄉圳頭段194-914地號,民國103（2014）年1月21日
東石郡役所,縣定,嘉義縣政府,衙署,嘉義縣朴子市平和里光復路33號,民國103（2014）年1月21日
朴子水道配水塔,縣定,嘉義縣政府,產業設施,嘉義縣朴子市文明路28號,民國103（2014）年1月21日
蒜頭糖廠五分車站,縣定,嘉義縣政府,其他,嘉義縣六腳鄉工廠村1號,民國104（2015）年3月17日
日新醫院,縣定,嘉義縣政府,其他,嘉義縣朴子市向榮路25號,民國104（2015）年3月17日
林開泰診療所舊宅,縣定,嘉義縣政府,宅第,嘉義縣新港鄉大興村大興路19號,民國105（2016）年3月11日
