區別,指揮官,縣市別,責任醫院
臺北區,張上淳院長,臺?市,臺大醫院
臺北區,張上淳院長,臺?市,三軍總醫院
臺北區,張上淳院長,臺?市,新光醫院
臺北區,張上淳院長,臺?市,臺?醫學大學附設醫院
臺北區,張上淳院長,臺?市,臺?市?萬芳醫院
臺北區,張上淳院長,臺?市,馬偕兒童醫院
臺北區,張上淳院長,臺?市,臺?榮民總醫院
臺北區,張上淳院長,臺?市,臺?市??合醫院和平婦幼院區
臺北區,張上淳院長,臺?市,國泰綜合醫院
臺北區,張上淳院長,新?市,亞東醫院
臺北區,張上淳院長,新?市,新店耕莘醫院
臺北區,張上淳院長,新?市,臺?慈濟醫院
臺北區,張上淳院長,新?市,衛生??部雙和醫院
臺北區,張上淳院長,新?市,淡水馬偕紀?醫院
臺北區,張上淳院長,新?市,恩主公醫院
臺北區,張上淳院長,基?市,基?長庚醫院
臺北區,張上淳院長,基?市,衛生??部基?醫院
臺北區,張上淳院長,宜?縣,陽明大學附設醫院
臺北區,張上淳院長,宜?縣,?東聖母醫院
臺北區,張上淳院長,宜?縣,?東博愛醫院
臺北區,張上淳院長,?門縣,衛生??部?門醫院
臺北區,張上淳院長,?江縣,?江縣?醫院
?區,黃玉成教授,桃園市,?口長庚紀?醫院
?區,黃玉成教授,桃園市,敏盛綜合醫院
?區,黃玉成教授,桃園市,衛生??部桃園醫院
?區,黃玉成教授,桃園市,聖保?醫院
?區,黃玉成教授,新竹市,新竹馬偕紀?醫院
?區,黃玉成教授,新竹縣,臺大醫院新竹分院
?區,黃玉成教授,苗?縣,東元綜合醫院
?區,黃玉成教授,苗?縣,衛生??部苗?醫院
中區,黃高彬主任,臺中市,為恭紀?醫院
中區,黃高彬主任,臺中市,臺中榮民總醫院
中區,黃高彬主任,臺中市,中國醫藥大學兒童醫院
中區,黃高彬主任,臺中市,童綜合醫院梧棲院區
中區,黃高彬主任,臺中市,中山醫學大學附設醫院
中區,黃高彬主任,臺中市,澄清綜合醫院及中港分院
中區,黃高彬主任,臺中市,?新醫院
中區,黃高彬主任,臺中市,衛生??部豐原醫院
中區,黃高彬主任,臺中市,光田綜合醫院沙鹿院區
中區,黃高彬主任,臺中市,光田綜合醫院大甲院區
中區,黃高彬主任,臺中市,臺中慈濟醫院
中區,黃高彬主任,臺中市,衛生??部臺中醫院 
中區,黃高彬主任,臺中市,大?仁愛醫院
中區,黃高彬主任,彰化縣,彰化基督教兒童醫院
中區,黃高彬主任,彰化縣,秀傳紀?醫院
中區,黃高彬主任,彰化縣,彰濱秀傳紀?醫院
中區,黃高彬主任,南投縣,埔?基督教醫院
中區,黃高彬主任,南投縣,衛生??部南投醫院
南區,莊銀清院長,雲?縣,臺大醫院雲?分院
南區,莊銀清院長,雲?縣,?瑟醫院
南區,莊銀清院長,嘉義巿,嘉義基督教醫院
南區,莊銀清院長,嘉義巿,聖馬爾定醫院
南區,莊銀清院長,嘉義縣,嘉義長庚醫院
南區,莊銀清院長,嘉義縣,大?慈濟醫院
南區,莊銀清院長,臺南巿,成大醫院
南區,莊銀清院長,臺南巿,奇美醫院永康院區
南區,莊銀清院長,臺南巿,郭綜合醫院
南區,莊銀清院長,臺南巿,臺南新?醫院
南區,莊銀清院長,臺南巿,麻豆新?醫院
南區,莊銀清院長,臺南巿,?營奇美醫院
高屏區,陳垚生主任,高雄市,高雄榮民總醫院
高屏區,陳垚生主任,高雄市,高雄醫學大學附設醫院
高屏區,陳垚生主任,高雄市,高雄長庚醫院
高屏區,陳垚生主任,高雄市,義大醫院
高屏區,陳垚生主任,高雄市,國軍高雄總醫院左營分院
高屏區,陳垚生主任,高雄市,高雄市?小港醫院
高屏區,陳垚生主任,高雄市,高雄市??合醫院
高屏區,陳垚生主任,屏東縣,屏東基督教醫院
高屏區,陳垚生主任,屏東縣,安泰醫院
高屏區,陳垚生主任,屏東縣,輔英科技大學附設醫院
高屏區,陳垚生主任,澎湖縣,三軍總醫院澎湖分院
東區,?仁智主任,花?縣,花?慈濟醫院
東區,?仁智主任,花?縣,門?醫院
東區,?仁智主任,臺東縣,馬偕醫院臺東分院
東區,?仁智主任,臺東縣,台東基督教醫院
