公廁編號,公廁名稱,地址或地點描述,主管機關,備註說明,管理單位名稱,管理單位聯絡電話,建檔日期,啟用日期,緯度,經度,原始公廁級別,最新公廁級別,建檔狀態,建檔類別,公廁類別,縣市代碼,鄉鎮代碼,村里代碼,縣市名稱,鄉鎮名稱,村里名稱,上傳圖片,異動日期
1001001001-D-00001,家己人公園男廁,嘉義縣太保市太保里,縣市政府,,嘉義縣建設處建設管理科,05-3622712,2011/12/16 上午 10:30:00,2011/12/16 上午 10:30:00,23.45777422,120.3213215,優等級,特優級,啟用,公廁,公園,10010,1001001,1001001001,嘉義縣,太保市,太保里,是,2013/1/11 下午 12:00:00
1001001001-D-00002,家己人公園女廁,嘉義縣太保市太保里,縣市政府,,嘉義縣建設處建設管理科,05-3622712,2011/12/16 上午 10:40:00,2011/12/16 上午 10:40:00,23.45771516,120.3213215,優等級,特優級,啟用,公廁,公園,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2013/1/11 下午 12:00:00
1001001001-E-00001,太保市公有市場男廁,太保市太保里178-6號,縣市政府,太保市公所,太保市公所,05-3716130,2008/11/24 上午 12:00:00,2008/11/24 上午 12:00:00,23.46225,120.3328,特優級,特優級,啟用,公廁,市場,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2013/1/11 下午 12:00:00
1001001001-E-00002,太保市公有市場女廁,太保市太保里178-6號,縣市政府,太保市公所,太保公所,05-3716000,2011/7/22 上午 10:43:00,2011/7/22 上午 10:43:00,23.46596262,120.3268576,優等級,特優級,啟用,公廁,市場,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2013/1/11 下午 12:00:00
1001001001-H-00001,嘉義高鐵站一號出口男廁,嘉義縣太保市太保里高鐵西路168號,交通部,,台灣高鐵股份有限公司,05-3107000,2009/5/11 上午 09:22:00,2016/2/22 上午 11:09:00,23.459221,120.32382,特優級,特優級,啟用,公廁,高鐵,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2016/2/22 上午 11:09:00
1001001001-H-00002,嘉義高鐵站一號出口女廁,嘉義縣太保市太保里高鐵西路168號,交通部,,台灣高鐵股份有限公司,05-3107000,2009/5/11 上午 09:25:00,2009/5/11 上午 09:25:00,23.459221,120.32382,特優級,特優級,啟用,公廁,高鐵,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2010/11/15 上午 11:44:00
1001001001-H-00003,嘉義高鐵站一號出口無障礙公廁,嘉義縣太保市太保里高鐵西路168號,交通部,,台灣高鐵股份有限公司,05-3107000,2009/5/11 上午 09:28:00,2016/7/11 上午 11:38:00,23.459221,120.32382,特優級,特優級,啟用,公廁,高鐵,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2016/7/11 上午 11:38:00
1001001001-H-00004,嘉義高鐵站四號出口男廁,嘉義縣太保市太保里高鐵西路168號,交通部,,台灣高鐵股份有限公司,05-3107000,2009/5/11 上午 09:30:00,2016/7/11 上午 11:38:00,23.459221,120.32382,特優級,特優級,啟用,公廁,高鐵,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2016/7/11 上午 11:38:00
1001001001-H-00005,嘉義高鐵站四號出口女廁,嘉義縣太保市太保里高鐵西路168號,交通部,,台灣高鐵股份有限公司,05-3107000,2015/6/12 下午 05:52:00,2016/7/11 上午 11:38:00,23.45884372,120.3230882,特優級,特優級,啟用,公廁,高鐵,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2016/7/11 上午 11:38:00
1001001001-H-00006,嘉義高鐵站四號出口無障礙公廁,嘉義縣太保市太保里高鐵西路168號,交通部,,台灣高鐵股份有限公司,05-3107000,2015/6/12 下午 05:54:00,2016/7/11 上午 11:38:00,23.45876499,120.3230023,特優級,特優級,啟用,公廁,高鐵,10010,1001001,1001001001,嘉義縣,太保市,太保里,否,2016/7/11 上午 11:38:00
