日期,時間,住宅竊盜發生地點
1040601,0100,嘉義縣中埔鄉東興村凍仔腳
1040328,0100,嘉義縣中埔鄉金蘭村金蘭
1041021,1400,嘉義縣中埔鄉石?村石?
1040818,0300,嘉義縣中埔鄉和美村和美路348巷
1040812,1227,嘉義縣中埔鄉和興村中華路585巷
1040905,1125,嘉義縣義竹鄉義竹國小
1040713,0830,嘉義縣義竹鄉埤前村埤子頭
1040905,0830,嘉義縣布袋鎮東安里22鄰
1040926,1100,嘉義縣朴子市松華里
1040821,0200,嘉義縣朴子市大鄉里
1040705,0900,嘉義縣朴子市大鄉里
1040716,1614,嘉義縣朴子市友愛街18巷
1031202,1200,嘉義縣太保市埤麻腳段
1040813,1000,嘉義縣水上鄉柳鄉村
1040726,1200,嘉義縣太保市前潭里後潭
1040702,0329,嘉義縣太保市安仁里棒球三街
1040721,1230,"嘉義縣民雄鄉大學路2段3460號1樓,"
1031024,0830,嘉義縣民雄鄉豐收村好收路
1041104,1030,嘉義縣新港鄉六斗仔
1040823,0923,嘉義縣民雄鄉北勢子
1040418,2030,嘉義縣民雄鄉新忠路
1040105,1000,嘉義縣民雄鄉金興村惠安街71巷
1041102,1620,嘉義縣新港鄉宮後街23巷
1040928,0800,嘉義縣溪口鄉下員林
1040314,1800,嘉義縣大林鎮民族北路240巷
1040312,2240,嘉義縣大林鎮民生路
1040310,0906,嘉義縣大林鎮民族北路240巷
1040809,1628,嘉義縣大林鎮中山路17巷
1040531,2000,嘉義縣大林鎮下潭底
1041125,0850,嘉義縣大林鎮忠孝路
1041019,0900,嘉義縣民雄鄉寮頂村
1040804,2300,嘉義縣民雄鄉東勢湖
1040806,0320,嘉義縣民雄鄉西安路
1040815,1450,嘉義縣竹崎鄉義仁村下寮仔
1040626,1140,嘉義縣竹崎鄉竹崎村中山路
1040616,1710,嘉義縣大林鎮甘蔗崙
1041221,0553,嘉義縣大林鎮甘蔗崙
1040409,0000,嘉義縣大林鎮忠孝路
1041107,2100,嘉義縣新港鄉溪北
1041115,1130,嘉義縣民雄鄉金興村惠安街41巷
1040605,1000,嘉義縣民雄鄉10鄰東勢湖
1041223,0453,嘉義縣大林鎮三和里林子頭
1041113,1000,嘉義縣民雄鄉三興村大學路一段
1041231,1106,嘉義縣大林鎮平林里新興街
1041219,1329,嘉義縣梅山鄉新市路82巷
1041231,1710,嘉義縣番路鄉下坑村菜公店
1050225,2000,嘉義縣中埔鄉龍門村2鄰龍山腳
1050202,2300,嘉義縣竹崎鄉內埔村溪州
1050222,2200,嘉義縣竹崎鄉中山路
1040729,1520,嘉義縣番路鄉番路村7鄰番路
1050130,1100,嘉義縣鹿草鄉竹山村
1040225,0542,嘉義縣民雄鄉北勢子
1050306,0150,嘉義縣大林鎮大埔美
1050215,1830,嘉義縣中埔鄉隆興村十字路
1050115,0900,嘉義縣中埔鄉灣潭村內湖空屋
1050331,0320,嘉義縣新港鄉中山路
1020215,2000,嘉義縣中埔鄉龍門村2鄰龍山腳
1050302,2000,嘉義縣中埔鄉龍門村龍山腳
1041120,1900,嘉義縣梅山鄉梅南村南興街
1050224,1700,嘉義縣中埔鄉龍門村龍山腳
1041228,1100,嘉義縣中埔鄉和興村中華路
1050401,1430,嘉義縣民雄鄉雙福村雙福
1050414,2000,嘉義縣中埔鄉龍門村龍山腳
1050504,0700,嘉義縣布袋鎮中安里過溝
1050427,0219,嘉義縣竹崎鄉灣橋村16鄰灣橋
1050417,1130,嘉義縣中埔鄉頂埔村頂埔
0941019,0800,嘉義縣水上鄉水上村18鄰中山路二段
1050609,0908,嘉義縣中埔鄉和睦村中華路
1041124,1030,嘉義縣梅山鄉梅南村6鄰南興街
1050624,1100,嘉義縣六腳鄉潭墘村4鄰潭子墘
1050610,2300,嘉義縣義竹鄉西過村過路子
1050416,2000,嘉義縣番路鄉下坑村11鄰下坑
1050608,1500,嘉義縣中埔鄉同仁村3鄰同仁
1050318,0500,嘉義縣竹崎鄉光華村柑仔宅
1050322,1129,嘉義縣竹崎鄉中和村石棹
1050109,1800,嘉義縣中埔鄉和睦村中山路5段
1050617,1350,嘉義縣竹崎鄉鹿滿村5鄰頂溪心
1050706,0922,嘉義縣番路鄉大湖村2鄰茶科
1050724,1400,嘉義縣太保市安仁里港子墘
1050811,2300,嘉義縣朴子市竹圍里四維路一段584巷
1041106,1200,嘉義縣朴子市竹村里13鄰鴨母寮439巷
1050627,0456,嘉義縣六腳鄉正義村大橋頭358號對面倉庫前
1050722,1400,嘉義縣水上鄉三和村新和庄
1050509,0800,嘉義縣中埔鄉義仁村13鄰樹頭埔
1050815,0700,嘉義縣朴子市永和里應菜埔
1030715,1200,嘉義縣大林鎮三和里林仔前
1051004,2300,嘉義縣六腳鄉灣北村
1051020,1355,嘉義縣東石鄉西崙村
1050912,2243,嘉義縣水上鄉水頭村中正路
1051108,1710,嘉義縣朴子市大?榔
1050905,0745,嘉義縣朴子市山通路
1051128,2145,嘉義縣朴子市仁和里小?榔
1050616,1657,嘉義縣朴子市新庄里
1051016,1650,嘉義縣竹崎鄉灣橋村埤堂38巷1弄
1051215,1530,嘉義縣六腳鄉豐美村港尾寮
1051004,0208,嘉義縣竹崎鄉灣橋
