,る,だЫ, ═(诀 篊)ó緍 緋,诀       ン, ︽(┪ ), ユ硄恨(砞琁 ),ㄤ       ,       ,       端
105,11,い瓾だЫ,119,1,0,0,0,0,78
105,11,ガ砋だЫ,34,1,1,0,0,1,22
105,11,ΦだЫ,122,0,1,0,0,2,98
105,11,だЫ,202,2,0,1,1,0,163
105,11,チ动だЫ,185,0,0,0,1,0,200
105,11,λ盩だЫ,76,0,1,1,1,0,50
105,10,い瓾だЫ,39,0,0,0,0,2,33
105,10,ガ砋だЫ,34,1,0,0,1,0,24
105,10,ΦだЫ,65,0,0,0,0,0,60
105,10,だЫ,107,0,0,0,1,2,80
105,10,チ动だЫ,110,0,2,0,0,2,114
105,10,λ盩だЫ,42,0,1,0,0,1,27
105,9,い瓾だЫ,103,1,0,0,0,1,69
105,9,ガ砋だЫ,44,0,0,0,1,0,36
105,9,ΦだЫ,154,2,2,0,0,0,110
105,9,だЫ,175,2,2,3,2,0,114
105,9,チ动だЫ,174,1,1,0,0,0,189
105,9,λ盩だЫ,52,1,2,1,1,2,44
105,8,い瓾だЫ,82,1,0,0,0,0,66
105,8,ガ砋だЫ,34,0,1,0,0,0,21
105,8,ΦだЫ,124,1,0,0,0,0,82
105,8,だЫ,157,1,1,1,2,2,120
105,8,チ动だЫ,180,0,1,0,0,0,160
105,8,λ盩だЫ,55,1,0,0,2,1,33
105,7,い瓾だЫ,134,2,0,1,0,3,86
105,7,ガ砋だЫ,40,0,0,0,0,1,34
105,7,ΦだЫ,136,0,1,1,1,0,113
105,7,だЫ,218,2,1,0,1,1,174
105,7,チ动だЫ,230,0,1,2,1,1,186
105,7,λ盩だЫ,76,2,1,1,2,2,48
105,6,い瓾だЫ,86,2,0,0,0,2,51
105,6,ガ砋だЫ,42,1,0,0,0,0,43
105,6,ΦだЫ,136,0,2,0,1,1,115
105,6,だЫ,169,0,1,0,1,4,119
105,6,チ动だЫ,229,1,3,1,1,0,192
105,6,λ盩だЫ,68,1,0,0,1,0,40
105,5,い瓾だЫ,65,0,0,0,1,4,82
105,5,ガ砋だЫ,22,1,0,1,0,0,31
105,5,ΦだЫ,81,0,1,1,0,1,111
105,5,だЫ,121,1,0,0,2,0,172
105,5,チ动だЫ,148,0,3,0,1,2,217
105,5,λ盩だЫ,34,0,1,0,1,0,45
105,4,い瓾だЫ,99,0,2,1,0,0,61
105,4,ガ砋だЫ,44,1,0,0,0,0,23
105,4,ΦだЫ,125,0,1,0,1,1,91
105,4,だЫ,159,2,2,0,3,2,106
105,4,チ动だЫ,209,0,0,0,1,2,171
105,4,λ盩だЫ,89,0,0,1,1,0,52
105,3,い瓾だЫ,104,1,1,0,0,1,67
105,3,ガ砋だЫ,29,1,0,0,0,0,9
105,3,ΦだЫ,124,0,1,0,0,0,77
105,3,だЫ,189,0,0,1,1,2,132
105,3,チ动だЫ,213,0,0,0,0,0,151
105,3,λ盩だЫ,58,0,1,2,0,0,39
105,2,い瓾だЫ,111,1,4,0,0,2,66
105,2,ガ砋だЫ,56,0,0,1,0,0,33
105,2,ΦだЫ,162,1,2,0,0,0,100
105,2,だЫ,206,1,0,0,2,2,125
105,2,チ动だЫ,214,0,0,1,0,1,153
105,2,λ盩だЫ,72,0,1,0,0,0,36
105,1,い瓾だЫ,90,1,1,0,0,0,65
105,1,ガ砋だЫ,38,0,0,0,0,1,29
105,1,ΦだЫ,127,1,0,0,0,1,115
105,1,だЫ,166,1,0,0,0,3,103
105,1,チ动だЫ,183,0,0,2,2,1,141
105,1,λ盩だЫ,68,1,0,0,0,1,36
104,12,い瓾だЫ,116,0,2,1,1,2,86
104,12,ガ砋だЫ,31,0,0,0,0,0,22
104,12,ΦだЫ,163,1,0,0,1,2,140
104,12,だЫ,183,2,1,1,0,2,150
104,12,チ动だЫ,324,0,2,0,1,2,302
104,12,λ盩だЫ,76,0,1,0,0,1,66
104,11,い瓾だЫ,145,1,0,0,2,0,112
104,11,ガ砋だЫ,36,0,0,0,0,0,30
104,11,ΦだЫ,115,0,0,0,2,0,96
104,11,だЫ,191,1,1,1,2,1,156
104,11,チ动だЫ,320,1,1,1,1,3,293
104,11,λ盩だЫ,81,2,1,0,0,1,70
104,10,い瓾だЫ,114,0,0,0,2,1,96
104,10,ガ砋だЫ,36,0,0,0,1,0,31
104,10,ΦだЫ,140,0,1,0,2,2,98
104,10,だЫ,184,0,2,0,0,4,141
104,10,チ动だЫ,279,0,2,0,2,2,275
104,10,λ盩だЫ,68,1,0,0,2,0,50
