名稱,電話,服務處所地址,許可日期/許可證字號,許可範圍
財團法人一粒麥子社會福利慈善事業基金會,089-343494,臺東縣臺東市寧波街195號,101.10.01台內兒少收字第101001號,國內
財團法人中華民國兒童福利聯盟文教基金會,02-25585806*8,臺北市大同區南京西路66號6樓,101.10.01台內兒少收字第101002號,國內與跨國境
財團法人中華民國兒童福利聯盟文教基金會,04-23780095,臺中市西區五權五街151號7樓-1,101.10.01台內兒少收字第101003號,國內
財團法人中華民國兒童福利聯盟文教基金會,07-3501959,高雄市左營區博愛三路12號6樓,101.10.01台內兒少收字第101004號,國內
財團法人忠義社會福利事業基金會,02-29331700  ,臺北市文山區景興路85巷12號,101.11.19台內兒少收字第101005號,國內與跨國境
財團法人勵馨社會福利事業基金會,02-23690885,臺北市大安區羅斯福路2段75號8樓,101.11.19台內兒少收字第101006號,國內
財團法人勵馨社會福利事業基金會,07-2237995,高雄市苓雅區凱旋一路3號3樓,101.11.19台內兒少收字第101007號,國內
財團法人勵馨社會福利事業基金會,04-22239595,臺中市西區三民路一段174號11樓,102.5.20台內兒少收字第102001號,國內
財團法人天主教善牧社會福利基金會,06-2344009 06-2344009*16 ,臺南市北區力行街12號,103.4.10部授家家支收字第103001號,國內與跨國境
財團法人台北市基督徒救世會社會福利事業基金會,02-27290265,臺北市信義區基隆路一段420號7樓,103.4.25部授家家支收字第103002號,國內與跨國境
財團法人高雄市私立小天使家園,07-3757667,高雄市仁武區仁雄路92-8號,103.5.6部授家家支收字第103003號,國內
財團法人天主教福利會,02-26625184,新北市深坑區北深路二段155號,103.5.8部授家家支收字第103004號,國內與跨國境
財團法人宜蘭縣私立神愛兒童之家,03-9514652,宜蘭縣冬山鄉得安村大埤二路189巷36號,103.9.2部授家家支收字第103005號,國內
