物資存放點名稱,聯絡人,電話,縣市,鄉鎮市,村里,存放點地址
中崙4鄰村長宅,王佳惠,05-2533321#105,嘉義縣,中埔鄉,中崙村,4鄰26號
東興村7鄰鄰長宅,王佳惠,05-2533321#105,嘉義縣,中埔鄉,東興村,7鄰八寶寮6號
東興派出所,王佳惠,05-2533321#105,嘉義縣,中埔鄉,東興村,3鄰13號
中埔鄉公所,王佳惠,05-2533321#105,嘉義縣,中埔鄉,中埔村,128號
灣潭村7鄰民宅,王佳惠,05-2533321#105,嘉義縣,中埔鄉,灣潭村,7鄰凍腳4號
龍門社區活動中心災民收容所,王佳惠,05-2533321#105,嘉義縣,中埔鄉,龍門村,龍山腳33號
和興社區活動中心災民收容所,王佳惠,05-2533321#105,嘉義縣,中埔鄉,和興村,中華路305巷246號
中崙村6鄰前鄰長宅,王佳惠,05-2533321#105,嘉義縣,中埔鄉,中崙村,6鄰中崙嶺6號
中崙村7鄰鄰長宅,王佳惠,05-2533321#105,嘉義縣,中埔鄉,中崙村,7鄰40號
中崙村8鄰鄰長宅,王佳惠,05-2533321#105,嘉義縣,中埔鄉,中崙村,8鄰石壁頭1號
中崙村9鄰鄰長宅,王佳惠,05-2533321#105,嘉義縣,中埔鄉,中崙村,9鄰石壁頭8號
石?村1鄰鄰長宅,王佳惠,05-2533321#105,嘉義縣,中埔鄉,石?村,1鄰永富4號
石?村4鄰鄰長宅,王佳惠,05-2533321#105,嘉義縣,中埔鄉,石?村,4鄰石仔湖31號
中山國小藤寮仔童軍營區,王佳惠,05-2533321#105,嘉義縣,中埔鄉,石?村,6鄰藤寮仔54號
東興村長青會長宅,王佳惠,05-2533321#105,嘉義縣,中埔鄉,東興村,5鄰凍仔頂25號
光華社區活動中心,陳世郎,05-2611010#134,嘉義縣,竹崎鄉,光華村,5鄰27-1號
金獅村芊蓁坑,陳世郎,05-2611010#134,嘉義縣,竹崎鄉,金獅村,8鄰16號
金獅村出水坑,陳世郎,05-2611010#134,嘉義縣,竹崎鄉,金獅村,4鄰42號
金獅村東湖仔,陳世郎,05-2611010#134,嘉義縣,竹崎鄉,金獅村,7鄰17號
仁壽村塘湖,陳世郎,05-2611010#134,嘉義縣,竹崎鄉,仁壽村,10鄰27號
仁壽村辦公處,陳世郎,05-2611010#134,嘉義縣,竹崎鄉,仁壽村,2鄰30號
仁壽國小仁光分校教室,陳世郎,05-2611010#134,嘉義縣,竹崎鄉,仁壽村,8鄰20之3號
仁壽村7鄰水社寮民宅,陳世郎,05-2611010#134,嘉義縣,竹崎鄉,仁壽村,7鄰1-1號
文?村大坑12鄰,陳世郎,05-2611010#134,嘉義縣,竹崎鄉,文?村,12鄰大坑73號
文?村大坑15鄰,陳世郎,05-2611010#134,嘉義縣,竹崎鄉,文?村,15鄰大坑21號
奮起湖社區活動中心,陳世郎,05-2611010#134,嘉義縣,竹崎鄉,中和村,12鄰164號
中和村石棹,陳世郎,05-2611010#134,嘉義縣,竹崎鄉,中和村,19鄰13號
中和村永和,陳世郎,05-2611010#134,嘉義縣,竹崎鄉,中和村,21鄰5號
竹崎鄉公所柑農中心,陳世郎,05-2611010#134,嘉義縣,竹崎鄉,竹崎村,中山路59之1號
嘉義縣竹崎鄉灣橋村朴子埔收容所暨防災物資整備所,陳世郎,05-2611010#134,嘉義縣,竹崎鄉,灣橋村,朴子埔32號
嘉義縣竹崎鄉昇平村收容所暨防災物資整備所,陳世郎,05-2611010#134,嘉義縣,竹崎鄉,昇平村,6鄰頂埔96號之1
太和村村辦公處,林育正,05-2622121#182,嘉義縣,梅山鄉,太和村,2鄰蛤里味5-1號
太和村仁和國小,林育正,05-2622121#182,嘉義縣,梅山鄉,太和村,社前湖6號
太和村太和國小,林育正,05-2622121#182,嘉義縣,梅山鄉,太和村,3鄰18號
農產品展示中心,林育正,05-2622121#182,嘉義縣,梅山鄉,瑞?村,2鄰外寮47之2號
瑞里村村辦公處,林育正,05-2622121#182,嘉義縣,梅山鄉,瑞里村,5鄰55號
龍眼村活動中心,林育正,05-2622121#182,嘉義縣,梅山鄉,龍眼村,龍眼林3之1號
碧湖村活動中心,林育正,05-2622121#182,嘉義縣,梅山鄉,碧湖村,6鄰堀尺嶺9之1號
太興村活動中心,林育正,05-2622121#182,嘉義縣,梅山鄉,太興村,4鄰青園5號
太平村活動中心,林育正,05-2622121#182,嘉義縣,梅山鄉,太平村,1鄰大坪43號
梅山鄉公所,林育正,05-2622121#182,嘉義縣,梅山鄉,梅北村,中山路282號
大湖村活動中心,周芳儀,05-2591951#132,嘉義縣,番路鄉,大湖村,大湖村火燒寮1-1號
大湖國小,周芳儀,05-2591951#132,嘉義縣,番路鄉,大湖村,下坪仔8號
公田鄰長劉高對宅,周芳儀,05-2591951#132,嘉義縣,番路鄉,公田村,公田村8鄰濫田仔5號
公田村活動中心,周芳儀,05-2591951#132,嘉義縣,番路鄉,公田村,公田村6鄰大路仔32號
公田隙頂國小,周芳儀,05-2591951#132,嘉義縣,番路鄉,公田村,6鄰隙頂40號
公田村鄧寬仁鄰長宅,周芳儀,05-2591951#132,嘉義縣,番路鄉,公田村,公田村2鄰龍頭16-10號
公興村長宅,周芳儀,05-2591951#132,嘉義縣,番路鄉,公興村,公興村2鄰龍美46-8號
公興林文正鄰長宅（近福安宮）,周芳儀,05-2591951#132,嘉義縣,番路鄉,公興村,公興村4鄰中寮41號
公興社區理事長宅,周芳儀,05-2591951#132,嘉義縣,番路鄉,公興村,公興村7鄰腦寮19號
公興前村長方文宅,周芳儀,05-2591951#132,嘉義縣,番路鄉,公興村,公興村7鄰腦寮3號
草山村陳良義鄰長宅,周芳儀,05-2591951#132,嘉義縣,番路鄉,草山村,5鄰永興2號
草山村大埔國小永興分校,周芳儀,05-2591951#132,嘉義縣,番路鄉,草山村,7鄰永興22號
草山村朝天宮,周芳儀,05-2591951#132,嘉義縣,番路鄉,草山村,草山村3鄰42號
逐鹿社區活動中心收容所,周芳儀,05-2591951#132,嘉義縣,番路鄉,觸口村,18鄰梅花1路1號
公有零售市場,李兆隆,05-2521310#18,嘉義縣,大埔鄉,大埔村,大埔162-9號
圖書館,李兆隆,05-2521310#18,嘉義縣,大埔鄉,大埔村,大埔53之2號
坪林分校,李兆隆,05-2521310#18,嘉義縣,大埔鄉,茄苳村,8鄰坪林24號
西興活動中心,李兆隆,05-2521310#18,嘉義縣,大埔鄉,西興村,3鄰菜瓜坪4之1號
埔頂集會所,李兆隆,05-2521310#18,嘉義縣,大埔鄉,永樂村,4鄰埔頂13-1號
永樂村長家,李兆隆,05-2521310#18,嘉義縣,大埔鄉,永樂村,7鄰南寮11號
聯合村辦公處,陳慧玲,05-2562547#171,嘉義縣,阿里山鄉,中正村,52號
十字村辦公處,陳慧玲,05-2562547#171,嘉義縣,阿里山鄉,十字村,52號
豐山村辦公處,陳慧玲,05-2562547#171,嘉義縣,阿里山鄉,豐山村,47號
來吉村辦公處,陳慧玲,05-2562547#171,嘉義縣,阿里山鄉,來吉村,97號
樂野村辦公處,陳慧玲,05-2562547#171,嘉義縣,阿里山鄉,樂野村,56號
達邦村辦公處,陳慧玲,05-2562547#171,嘉義縣,阿里山鄉,達邦村,101號
里佳村辦公處,陳慧玲,05-2562547#171,嘉義縣,阿里山鄉,里佳村,52號
山美村辦公處,陳慧玲,05-2562547#171,嘉義縣,阿里山鄉,山美村,51號
新美村辦公處,陳慧玲,05-2562547#171,嘉義縣,阿里山鄉,新美村,66號
茶山村辦公處,陳慧玲,05-2562547#171,嘉義縣,阿里山鄉,茶山村,74號
